[行业>市值]
+----------+--------+------------+-------+--------+------+---------+---------+
|   行业   |  代码  |    名称    | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
| 仪器仪表 | 300259 |  新天科技  | 42.2  | 131.7  | 0.8  |   3.7   |   6.2   |
| 仪器仪表 | 603700 |  宁水集团  | 31.4  | 131.4  | 2.0  |  11.2   |  12.2   |
| 仪器仪表 | 002175 |  东方网络  | 38.3  | 110.0  | 0.3  |  -1.3   |  -2.9   |
| 仪器仪表 | 301129 |  瑞纳智能  | 46.7  | 109.2  | 0.4  |   0.5   |  16.9   |
| 仪器仪表 | 300567 |  精测电子  | 116.0 | 102.1  | 0.2  |   6.5   |   7.7   |
| 仪器仪表 | 300371 |  汇中股份  | 20.5  | 100.0  | 3.2  |   9.5   |  10.9   |
| 仪器仪表 | 688112 |  鼎阳科技  | 65.4  |  81.5  | 3.7  |   8.8   |  24.1   |
| 仪器仪表 | 300112 |  万讯自控  | 26.3  |  81.3  | 1.2  |   2.6   |   7.6   |
| 仪器仪表 | 300667 |  必创科技  | 32.9  |  79.2  | 5.8  |  10.3   |  13.4   |
| 仪器仪表 | 300275 |   梅安森   | 24.9  |  77.7  | 0.3  |   6.0   |   8.7   |
| 仪器仪表 | 605056 |  咸亨国际  | 54.2  |  77.0  | 1.2  |   3.2   |   6.4   |
| 仪器仪表 | 688686 |   奥普特   | 186.8 |  73.9  | 0.7  |   9.0   |  33.5   |
| 仪器仪表 | 300165 |  天瑞仪器  | 26.6  |  70.3  | 0.8  |   0.6   |  -4.1   |
| 仪器仪表 | 300114 |  中航电测  | 68.2  |  67.3  | 0.8  |   1.7   |   5.8   |
| 仪器仪表 | 300720 |  海川智能  | 21.6  |  67.0  | 0.3  |   5.9   |   8.1   |
| 仪器仪表 | 300349 |  金卡智能  | 42.2  |  63.8  | 1.3  |   1.6   |   5.8   |
| 仪器仪表 | 002338 |  奥普光电  | 43.0  |  62.6  | 1.2  |   3.9   |   9.9   |
| 仪器仪表 | 300306 |  远方信息  | 30.4  |  62.0  | 6.5  |   9.3   |   8.5   |
| 仪器仪表 | 300862 |  蓝盾光电  | 35.5  |  58.2  | 1.3  |   4.3   |   8.0   |
| 仪器仪表 | 688320 |  禾川科技  | 45.4  |  57.2  | 9.8  |  49.6   |  63.2   |
| 仪器仪表 | 688056 |  莱伯泰科  | 27.3  |  57.2  | 5.5  |  31.8   |  36.0   |
| 仪器仪表 | 688665 |  四方光电  | 90.5  |  52.6  | 0.3  |   5.4   |   6.6   |
| 仪器仪表 | 002877 |  智能自控  | 20.2  |  49.6  | 0.7  |   1.8   |   2.5   |
| 仪器仪表 | 300445 |   康斯特   | 23.7  |  48.7  | 1.4  |   6.3   |   9.7   |
| 仪器仪表 | 688115 |   思林杰   | 27.7  |  43.7  | 1.8  |   8.1   |  18.3   |
| 仪器仪表 | 301151 |  冠龙节能  | 39.1  |  41.9  | 2.7  |   1.2   |   0.9   |
| 仪器仪表 | 300897 |  山科智能  | 20.1  |  41.3  | 2.0  |   2.6   |   4.5   |
| 仪器仪表 | 300066 |  三川智慧  | 52.4  |  38.5  | 0.2  |   6.3   |   7.0   |
| 仪器仪表 | 002849 |  威星智能  | 15.6  |  35.8  | 0.9  |   2.4   |   6.0   |
| 仪器仪表 | 300515 |  三德科技  | 20.6  |  34.7  | 1.3  |   4.0   |   8.3   |
| 仪器仪表 | 603662 |  柯力传感  | 42.4  |  30.3  | 3.0  |   1.9   |  12.2   |
| 仪器仪表 | 300838 |  浙江力诺  | 20.6  |  28.5  | 1.1  |   2.6   |   5.1   |
| 仪器仪表 | 300007 |  汉威科技  | 53.8  |  26.1  | 2.4  |   5.1   |   8.4   |
| 仪器仪表 | 601222 |  林洋能源  | 176.1 |  24.6  | 1.7  |   6.3   |   8.0   |
| 仪器仪表 | 001266 |  宏英智能  | 28.7  |  21.4  | 0.0  |   6.7   |  12.6   |
| 仪器仪表 | 301006 |  迈拓股份  | 26.2  |  21.2  | 2.6  |   4.7   |   7.4   |
| 仪器仪表 | 688628 |   优利德   | 32.1  |  15.1  | 1.5  |  11.4   |  18.8   |
| 仪器仪表 | 603100 |  川仪股份  | 64.2  |  14.8  | 0.9  |   3.2   |   9.4   |
| 仪器仪表 | 002658 |   雪迪龙   | 44.4  |  14.2  | 1.0  |   2.9   |   3.4   |
| 仪器仪表 | 300370 |  *ST安控   | 21.3  |  -7.9  | 0.5  |  20.5   |  17.4   |
| 仪器仪表 | 688622 |  禾信仪器  | 22.7  | -46.0  | 4.5  |  15.7   |  31.8   |
| 仪器仪表 | 688600 |  皖仪科技  | 18.5  | -50.5  | 3.8  |  15.9   |  22.2   |
| 仪器仪表 | 688528 |  秦川物联  | 18.4  | -58.1  | 1.4  |   8.0   |   9.6   |
| 仪器仪表 | 300557 |  理工光科  | 18.9  | -74.7  | 0.5  |   3.0   |   7.3   |
| 仪器仪表 | 688768 |  容知日新  | 47.8  | -88.3  | 6.8  |  17.8   |  17.4   |
| 仪器仪表 | 300417 |  南华仪器  | 13.6  | -123.2 | 1.9  |   4.3   |   4.7   |
| 仪器仪表 | 002819 |  东方中科  | 82.5  | -232.3 | 0.6  |  21.7   |  26.9   |
| 仪器仪表 | 002767 |  先锋电子  | 15.7  | -532.6 | 1.0  |   3.9   |   5.5   |
+----------+--------+------------+-------+--------+------+---------+---------+
