[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
| 酿酒行业 | 000596 | 古井贡酒 | 1191.0 |  27.1  | 1.1  |  -1.1   |  12.7   |
| 酿酒行业 | 600702 | 舍得酒业 | 563.1  |  26.5  | 2.7  |   0.9   |  15.1   |
| 酿酒行业 | 603919 |  金徽酒  | 167.6  |  25.4  | 1.6  |  -1.1   |  -1.7   |
| 酿酒行业 | 600779 |  水井坊  | 368.3  |  25.4  | 1.1  |  -0.1   |   7.9   |
| 酿酒行业 | 000799 |  酒鬼酒  | 517.0  |  24.8  | 2.5  |   1.4   |  12.7   |
| 酿酒行业 | 600809 | 山西汾酒 | 3377.0 |  22.8  | 2.4  |   1.6   |  12.7   |
| 酿酒行业 | 603198 | 迎驾贡酒 | 474.6  |  21.6  | 1.8  |  -0.5   |   4.6   |
| 酿酒行业 | 600559 | 老白干酒 | 221.6  |  20.8  | 1.2  |   2.0   |   7.6   |
| 酿酒行业 | 002646 | 天佑德酒 |  88.9  |  20.3  | 0.9  |  -0.3   |   0.3   |
| 酿酒行业 | 601579 |  会稽山  |  62.5  |  19.9  | 2.1  |  -5.0   |  -8.9   |
| 酿酒行业 | 000869 | 张  裕Ａ  | 194.5  |  16.7  | 0.4  |   0.6   |   3.7   |
| 酿酒行业 | 603589 |  口子窖  | 319.2  |  16.4  | 1.4  |   0.7   |   7.8   |
| 酿酒行业 | 000858 | 五 粮 液 | 6713.0 |  15.5  | 1.9  |   0.9   |  10.0   |
| 酿酒行业 | 603369 |  今世缘  | 580.0  |  14.5  | 1.8  |   0.5   |   6.1   |
| 酿酒行业 | 002304 | 洋河股份 | 2451.0 |  12.3  | 0.2  |  -1.4   |   4.9   |
| 酿酒行业 | 000752 | *ST西发  |  12.4  | -38.5  | 3.5  |   5.2   |   2.4   |
| 酿酒行业 | 600543 | 莫高股份 |  19.5  | -51.3  | -0.8 |  -2.9   |   1.3   |
| 酿酒行业 | 600365 |  ST通葡  |  18.3  | -114.9 | 2.2  |  -0.7   |  -2.5   |
| 酿酒行业 | 000929 | 兰州黄河 |  15.5  | -118.3 | 0.1  |   0.5   |   1.7   |
| 酿酒行业 | 600199 | 金种子酒 | 181.4  | -361.5 | 1.5  |  -3.0   |  -1.6   |
| 酿酒行业 | 600573 | 惠泉啤酒 |  25.0  | -364.2 | 0.1  |   0.4   |   8.3   |
| 酿酒行业 | 600084 | 中葡股份 |  63.9  | -882.1 | 3.5  |  -2.7   |  -0.3   |
+----------+--------+----------+--------+--------+------+---------+---------+
