[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
| 物流行业 | 603117 |  ST万林  |  14.9  | 304.6  |  2.6  |   3.5   |   0.0   |
| 物流行业 | 601816 | 京沪高铁 | 2264.0 | 257.0  | -0.9  |  -5.3   |  -2.5   |
| 物流行业 | 603223 | 恒通股份 |  93.4  | 233.4  | -0.2  |   0.7   |   1.5   |
| 物流行业 | 001317 |  三羊马  |  41.8  | 131.1  | -0.1  |  -1.4   |  -1.9   |
| 物流行业 | 002183 | 怡 亚 通 | 222.6  |  97.8  | -10.0 |   3.2   |  11.6   |
| 物流行业 | 300013 | 新宁物流 |  22.9  |  96.7  | -1.9  |  -3.2   |  -9.9   |
| 物流行业 | 002352 | 顺丰控股 | 2514.0 |  61.5  | -1.0  |  -1.1   |   1.7   |
| 物流行业 | 002800 | 天顺股份 |  18.1  |  61.4  |  2.4  |   1.2   |   1.0   |
| 物流行业 | 002769 |  普路通  |  26.8  |  56.1  | -0.4  |  -2.8   |  -2.8   |
| 物流行业 | 001213 | 中铁特货 | 242.2  |  52.5  |  0.9  |   3.6   |  13.5   |
| 物流行业 | 001202 | 炬申股份 |  19.2  |  45.5  |  2.2  |   3.0   |   5.3   |
| 物流行业 | 002930 | 宏川智慧 |  90.4  |  41.7  |  0.5  |   3.9   |   5.3   |
| 物流行业 | 002468 | 申通快递 | 172.1  |  40.4  | -1.4  |   0.5   |   4.2   |
| 物流行业 | 603713 | 密尔克卫 | 203.6  |  38.1  |  0.6  |   3.4   |   9.9   |
| 物流行业 | 603066 | 音飞储存 |  32.6  |  37.5  |  3.9  |   3.9   |   3.9   |
| 物流行业 | 002120 | 韵达股份 | 501.6  |  36.1  |  0.2  |  -4.8   |  -4.0   |
| 物流行业 | 002010 | 传化智联 | 194.4  |  31.9  |  1.1  |   0.2   |   0.6   |
| 物流行业 | 002492 | 恒基达鑫 |  26.0  |  29.1  |  2.6  |   4.7   |   6.6   |
| 物流行业 | 603813 | 原尚股份 |  14.0  |  29.1  |  0.9  |   2.9   |   1.7   |
| 物流行业 | 603535 | 嘉诚国际 |  47.8  |  28.7  | -1.1  |   0.1   |   0.3   |
| 物流行业 | 600794 | 保税科技 |  40.4  |  25.8  | -1.2  |   0.3   |  -2.4   |
| 物流行业 | 000557 | 西部创业 |  67.5  |  23.8  | -6.5  |  -2.7   |  13.8   |
| 物流行业 | 001228 |  永泰运  |  47.3  |  23.5  | -1.7  |   1.1   |   3.1   |
| 物流行业 | 000927 | 中国铁物 | 178.5  |  21.1  |  0.3  |  -2.3   |   2.8   |
