[行业>市值]
+----------+--------+-------------+--------+--------+-------+---------+---------+
|   行业   |  代码  |    名称     |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
| 交运设备 | 300011 |  鼎汉技术   |  32.9  | -24.1  | -1.0  |  -0.7   |  -1.3   |
| 交运设备 | 600679 |  上海凤凰   |  51.4  |  52.7  | -1.4  |  -4.0   |  -2.7   |
| 交运设备 | 688015 |  交控科技   |  41.3  |  47.1  | -1.4  |  -3.1   |  -6.7   |
| 交运设备 | 000017 |   深中华A   |  22.7  | -628.2 | -1.4  |  -6.8   |  -4.0   |
| 交运设备 | 603129 |  春风动力   | 178.6  |  42.4  | -1.5  |  -5.5   |   6.6   |
| 交运设备 | 688285 |  高铁电气   |  31.2  |  36.1  | -1.5  |  -0.9   |  -2.9   |
| 交运设备 | 603680 |  今创集团   |  62.5  |  76.3  | -1.6  |  -2.4   |  -2.4   |
| 交运设备 | 002972 |   科安达    |  29.1  |  28.3  | -1.7  |  -4.0   |  -3.6   |
| 交运设备 | 301215 |  中汽股份   |  84.1  | 109.2  | -1.7  |  -6.1   |  -8.4   |
| 交运设备 | 000976 |  华铁股份   |  69.7  |  35.2  | -1.8  |  -1.1   |   2.8   |
| 交运设备 | 301048 |  金鹰重工   |  56.2  |  19.4  | -1.9  |  -2.7   |  -5.2   |
| 交运设备 | 603111 |  康尼机电   |  44.2  |  43.2  | -2.0  |  -0.2   |  -1.3   |
| 交运设备 | 002105 |  信隆健康   |  27.8  |  15.3  | -2.2  |  -6.0   |  -3.0   |
| 交运设备 | 600099 |  林海股份   |  17.6  | 200.3  | -2.3  |  -2.5   |  -3.5   |
| 交运设备 | 001696 |  宗申动力   |  66.5  |  15.8  | -2.4  |  -3.0   |  -4.6   |
| 交运设备 | 688569 |  铁科轨道   |  37.0  |  19.8  | -2.4  |  -2.2   |  -4.2   |
| 交运设备 | 300851 |  交大思诺   |  18.9  | -119.3 | -2.5  |  -3.5   |  -6.2   |
| 交运设备 | 300923 |  研奥股份   |  17.1  |  38.9  | -2.5  |  -2.4   |  -4.6   |
| 交运设备 | 605001 |  威奥股份   |  24.8  | -11.4  | -2.6  |  -0.8   |  -2.6   |
| 交运设备 | 603766 |  隆鑫通用   |  91.0  |  8.0   | -2.6  |  -5.3   |  -3.7   |
| 交运设备 | 300594 |  朗进科技   |  14.8  | 301.5  | -2.7  |  -3.8   |  -2.6   |
| 交运设备 | 603787 |  新日股份   |  29.4  |  34.2  | -3.0  |  -3.9   |  -3.8   |
| 交运设备 | 300906 |   日月明    |  18.8  |  44.0  | -3.2  |  -3.7   |  -5.6   |
| 交运设备 | 000913 |  钱江摩托   |  73.2  |  52.5  | -3.2  |  -6.9   |  -10.3  |
| 交运设备 | 000925 |  众合科技   |  42.0  |  52.9  | -3.5  |  -6.2   |  -5.0   |
| 交运设备 | 300960 |  通业科技   |  18.7  | -43.1  | -3.6  |  -2.2   |  -3.8   |
| 交运设备 | 689009 | 九号公司-WD | 298.5  | 194.1  | -3.8  |   2.7   |  -5.1   |
| 交运设备 | 300994 |  久祺股份   |  55.1  |  32.4  | -4.1  |  -12.3  |  -11.5  |
| 交运设备 | 688187 |  时代电气   | 926.4  |  67.9  | -4.2  |   2.2   |  -0.4   |
| 交运设备 | 300462 |  华铭智能   |  17.4  | -34.3  | -4.2  |  -3.1   |  -2.3   |
| 交运设备 | 300351 |  永贵电器   |  58.1  |  37.7  | -6.1  |  -10.6  |  -8.9   |
| 交运设备 | 603529 |  爱玛科技   | 295.6  |  23.3  | -6.6  |  -1.3   |  -1.1   |
| 交运设备 | 688367 |  工大高科   |  16.2  | 3961.6 | -6.8  |   0.4   |  -4.0   |
| 交运设备 | 600818 |  中路股份   |  58.7  | 2045.8 | -10.0 |  -12.9  |  -10.5  |
+----------+--------+-------------+--------+--------+-------+---------+---------+
