[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
 [行业>单日涨幅]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 医疗服务 | 300143 | 盈康生命 |  69.2  |  71.8  |  5.2  |  11.4   |   6.9   |
| 医疗服务 | 000509 | *ST华塑  |  46.8  | 651.8  |  5.1  |  10.4   |  17.8   |
| 医疗服务 | 688222 | 成都先导 |  65.5  | -230.9 |  4.9  |  10.0   |   8.4   |
| 医疗服务 | 002219 | *ST恒康  |  98.6  | 2064.8 |  4.9  |  15.7   |  58.2   |
| 医疗服务 | 002173 | 创新医疗 |  27.6  | -48.5  |  3.2  |   5.2   |   5.4   |
| 医疗服务 | 000150 | *ST宜康  |  12.6  |  -3.6  |  2.9  |   2.9   |   2.1   |
| 医疗服务 | 300149 | 睿智医药 |  57.0  | 150.4  |  2.2  |   6.2   |   3.5   |
| 医疗服务 | 300347 | 泰格医药 | 960.5  |  46.3  |  2.1  |  12.3   |  10.9   |
| 医疗服务 | 301201 | 诚达药业 |  69.8  |  66.5  |  2.0  |   4.8   |   2.3   |
| 医疗服务 | 002044 | 美年健康 | 208.6  | -12.1  |  1.9  |   1.9   |  -0.4   |
| 医疗服务 | 600763 | 通策医疗 | 530.4  |  79.6  |  1.9  |   5.0   |   0.8   |
| 医疗服务 | 000516 | 国际医学 | 233.1  | -13.6  |  1.8  |   0.7   |  -1.0   |
| 医疗服务 | 301033 | 迈普医学 |  26.1  |  90.9  |  1.6  |   0.2   |   1.5   |
| 医疗服务 | 688315 | 诺禾致源 | 108.0  | 143.1  |  1.6  |  -3.1   |   5.4   |
| 医疗服务 | 002524 | 光正眼科 |  33.0  | -22.9  |  1.4  |   1.9   |   0.2   |
| 医疗服务 | 300404 | 博济医药 |  31.0  |  62.1  |  1.0  |   4.1   |   2.4   |
| 医疗服务 | 301103 | 何氏眼科 |  51.6  |  49.5  |  0.9  |  -0.3   |  -0.3   |
| 医疗服务 | 603108 | 润达医疗 |  57.5  |  34.8  |  0.8  |   0.0   |   1.1   |
| 医疗服务 | 301126 | 达嘉维康 |  35.9  |  47.2  |  0.8  |   0.6   |   2.7   |
| 医疗服务 | 000504 | 南华生物 |  47.8  | 7467.6 |  0.5  |   3.7   |  -3.1   |
| 医疗服务 | 300244 | 迪安诊断 | 194.3  |  6.4   |  0.1  |   0.5   |  -0.9   |
| 医疗服务 | 688238 | 和元生物 | 124.3  | 257.4  |  0.0  |   1.8   |  14.3   |
| 医疗服务 | 301239 | 普瑞眼科 |  50.4  |  33.7  |  0.0  |   0.0   |   0.0   |
| 医疗服务 | 688076 | 诺泰生物 |  55.5  |  86.3  | -0.1  |   2.6   |  -1.1   |
| 医疗服务 | 002821 |  凯莱英  | 753.4  |  37.7  | -0.6  |  11.5   |   5.3   |
| 医疗服务 | 300015 | 爱尔眼科 | 2245.0 |  91.9  | -0.6  |   0.8   |   1.1   |
| 医疗服务 | 301111 | 粤万年青 |  42.5  |  81.2  | -0.6  |   3.1   |   2.0   |
| 医疗服务 | 603882 | 金域医学 | 373.1  |  11.0  | -0.9  |   5.4   |   1.9   |
| 医疗服务 | 600721 | 百花医药 |  26.6  | 485.3  | -1.0  |  -1.1   |  -1.7   |
| 医疗服务 | 688621 | 阳光诺和 |  84.7  |  63.4  | -1.2  |  15.1   |   5.9   |
| 医疗服务 | 688246 | 嘉和美康 |  36.1  | -32.4  | -1.2  |   6.2   |  14.2   |
| 医疗服务 | 605186 | 健麾信息 |  41.9  | 148.4  | -1.2  |   1.9   |   3.3   |
| 医疗服务 | 603259 | 药明康德 | 3020.0 |  46.0  | -1.3  |   8.1   |   4.3   |
| 医疗服务 | 301235 | 华康医疗 |  40.9  | -119.0 | -1.4  |   8.5   |   7.9   |
| 医疗服务 | 300759 | 康龙化成 | 1111.0 | 111.5  | -1.8  |   7.1   |   6.0   |
| 医疗服务 | 301096 | 百诚医药 |  83.4  | 106.7  | -2.1  |   8.7   |   6.3   |
| 医疗服务 | 688202 |  美迪西  | 273.8  |  88.7  | -2.5  |  13.9   |  10.7   |
| 医疗服务 | 603127 | 昭衍新药 | 425.7  |  84.9  | -3.4  |   6.3   |  -1.1   |
| 医疗服务 | 600896 | 退市海医 |  9.9   |  -5.4  | -44.2 |  -44.2  |  -44.2  |
+----------+--------+----------+--------+--------+-------+---------+---------+
