[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
| 农牧饲渔 | 000798 | 中水渔业 |  32.6  | -63.8  | 1.9  |  -3.8   |  -3.4   |
| 农牧饲渔 | 300511 | 雪榕生物 |  32.5  |  14.2  | -0.2 |  -0.2   |   1.8   |
| 农牧饲渔 | 600540 | 新赛股份 |  31.3  | -45.2  | -2.4 |  -8.3   |   2.9   |
| 农牧饲渔 | 603336 | 宏辉果蔬 |  28.2  |  50.2  | -0.5 |  -2.7   |   0.3   |
| 农牧饲渔 | 002772 | 众兴菌业 |  28.2  |  49.8  | -0.3 |  -0.4   |   1.9   |
| 农牧饲渔 | 600257 | 大湖股份 |  27.0  | -51.1  | 0.2  |  -0.5   |  -1.2   |
| 农牧饲渔 | 002679 | 福建金森 |  26.8  | -41.2  | -2.1 |  -2.7   |   4.1   |
| 农牧饲渔 | 600097 | XD开创国 |  24.2  |  65.2  | -0.4 |   0.0   |  -1.8   |
| 农牧饲渔 | 002069 | ST獐子岛 |  22.7  | -30.9  | -0.6 |   1.3   |  -0.9   |
| 农牧饲渔 | 300970 | 华绿生物 |  22.2  |  20.8  | -1.6 |  -2.0   |  -1.8   |
| 农牧饲渔 | 002696 | 百洋股份 |  21.2  |  79.8  | -0.7 |  -2.3   |  -2.1   |
| 农牧饲渔 | 300972 | 万辰生物 |  20.1  |  20.7  | -1.6 |  -2.7   |  -2.1   |
| 农牧饲渔 | 300313 |  ST天山  |  19.8  | -105.0 | -0.6 |  -5.5   |  -10.9  |
| 农牧饲渔 | 300106 | 西部牧业 |  19.3  | 211.4  | -0.7 |  -3.6   |  -1.8   |
| 农牧饲渔 | 600265 | *ST景谷  |  18.7  | -173.6 | -4.2 |  -9.6   |  -9.3   |
| 农牧饲渔 | 002086 |  ST东洋  |  17.2  | -40.4  | -1.3 |  -9.2   |  -6.2   |
| 农牧饲渔 | 600506 | 香梨股份 |  16.8  | -51.4  | -2.6 |  -9.3   |  -14.9  |
| 农牧饲渔 | 301156 | 美农生物 |  14.1  |  23.9  | 0.0  |   0.0   |   0.0   |
| 农牧饲渔 | 002200 |  ST云投  |  13.8  | -15.9  | -1.7 |  -5.1   |  -7.5   |
| 农牧饲渔 | 000702 | 正虹科技 |  13.6  |  -7.6  | -0.8 |  -4.0   |  -4.3   |
| 农牧饲渔 | 600275 | 退市昌鱼 |  1.9   | -13.6  | -2.6 |  -2.6   |  -5.0   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 农牧饲渔 | 300268 | 佳沃食品 |  54.0  |  12.2  | 7.5  |  12.4   |   3.2   |
| 农牧饲渔 | 600354 | 敦煌种业 |  41.6  | 130.1  | 6.2  |  -11.2  |  18.3   |
| 农牧饲渔 | 300498 | 温氏股份 | 1160.0 |  -7.7  | 2.5  |   2.9   |   3.4   |
| 农牧饲渔 | 000713 | 丰乐种业 |  62.9  | 215.5  | 2.1  |  -5.0   |   1.2   |
| 农牧饲渔 | 000798 | 中水渔业 |  32.6  | -63.8  | 1.9  |  -3.8   |  -3.4   |
| 农牧饲渔 | 300189 | 神农科技 |  53.4  | -329.0 | 1.8  |  -5.6   |  -2.8   |
| 农牧饲渔 | 600251 | 冠农股份 |  82.9  |  9.4   | 1.7  |   0.8   |   2.0   |
| 农牧饲渔 | 002567 |  唐人神  |  95.9  | -16.1  | 1.7  |   6.3   |   0.4   |
| 农牧饲渔 | 300138 | 晨光生物 |  87.4  |  20.4  | 1.6  |   2.6   |   3.0   |
| 农牧饲渔 | 603477 | 巨星农牧 | 100.2  |  -8.1  | 1.5  |   2.1   |   1.0   |
| 农牧饲渔 | 000876 | 新 希 望 | 644.2  |  -5.6  | 1.4  |   2.4   |   1.4   |
| 农牧饲渔 | 600371 | 万向德农 |  41.5  |  24.8  | 1.1  |  -8.4   |  -5.5   |
| 农牧饲渔 | 600127 | 金健米业 |  61.2  | -279.7 | 1.1  |  -4.9   |   1.3   |
| 农牧饲渔 | 300094 | 国联水产 |  47.0  | 124.1  | 1.0  |  -2.1   |  -1.9   |
| 农牧饲渔 | 300087 | 荃银高科 | 115.0  | 140.8  | 0.9  |  -4.4   |  -2.0   |
| 农牧饲渔 | 000505 | 京粮控股 |  73.8  |  49.9  | 0.9  |  -5.8   |  -5.5   |
| 农牧饲渔 | 002688 | 金河生物 |  36.8  |  28.9  | 0.9  |   0.0   |   4.0   |
| 农牧饲渔 | 002321 | *ST华英  |  50.8  | -33.0  | 0.8  |  -0.4   |  -5.6   |
| 农牧饲渔 | 300673 | 佩蒂股份 |  42.0  |  36.8  | 0.8  |   0.7   |   5.5   |
| 农牧饲渔 | 601952 | 苏垦农发 | 212.1  |  39.7  | 0.8  |  -2.7   |  -4.4   |
| 农牧饲渔 | 002157 | 正邦科技 | 193.5  |  -2.0  | 0.5  |   1.6   |   2.0   |
| 农牧饲渔 | 002311 | 海大集团 | 1014.0 | 126.4  | 0.4  |   0.6   |   1.8   |
| 农牧饲渔 | 600359 | 新农开发 |  36.4  |  19.4  | 0.4  |  -6.4   |   3.7   |
| 农牧饲渔 | 000930 | 中粮科技 | 183.9  |  13.2  | 0.4  |   1.9   |   2.4   |
| 农牧饲渔 | 600313 | 农发种业 | 150.3  | 197.9  | 0.4  |  -8.0   |  -3.5   |
| 农牧饲渔 | 600108 | 亚盛集团 |  72.8  |  72.5  | 0.3  |  -3.1   |  -1.6   |
| 农牧饲渔 | 001201 | 东瑞股份 |  69.4  | -53.8  | 0.2  |   2.1   |   0.3   |
| 农牧饲渔 | 600598 |  北大荒  | 276.4  |  15.7  | 0.2  |  -4.5   |  -1.0   |
| 农牧饲渔 | 600257 | 大湖股份 |  27.0  | -51.1  | 0.2  |  -0.5   |  -1.2   |
| 农牧饲渔 | 603739 | 蔚蓝生物 |  37.9  |  52.4  | 0.1  |   0.1   |   3.2   |
| 农牧饲渔 | 600975 |  新五丰  |  64.2  | -14.3  | 0.0  |   5.3   |   1.4   |
| 农牧饲渔 | 600467 |  好当家  |  39.5  | 110.6  | 0.0  |  -1.5   |   1.1   |
| 农牧饲渔 | 301156 | 美农生物 |  14.1  |  23.9  | 0.0  |   0.0   |   0.0   |
| 农牧饲渔 | 002714 | 牧原股份 | 2681.0 | -12.9  | -0.1 |   0.9   |   2.5   |
| 农牧饲渔 | 000735 | 罗 牛 山 |  75.1  | -64.2  | -0.1 |  -0.6   |   6.9   |
| 农牧饲渔 | 300511 | 雪榕生物 |  32.5  |  14.2  | -0.2 |  -0.2   |   1.8   |
| 农牧饲渔 | 002041 | 登海种业 | 197.9  |  47.5  | -0.2 |  -6.4   |  -4.3   |
| 农牧饲渔 | 002891 | 中宠股份 |  66.6  |  71.2  | -0.2 |   1.2   |   2.4   |
| 农牧饲渔 | 002299 | 圣农发展 | 220.1  | -84.2  | -0.3 |   1.1   |   3.4   |
| 农牧饲渔 | 002772 | 众兴菌业 |  28.2  |  49.8  | -0.3 |  -0.4   |   1.9   |
| 农牧饲渔 | 002124 | 天邦股份 | 111.5  |  -4.1  | -0.3 |  -1.1   |  -3.0   |
| 农牧饲渔 | 600811 | 东方集团 | 105.0  | 224.6  | -0.3 |  -1.0   |  -2.7   |
| 农牧饲渔 | 603609 | 禾丰股份 |  77.8  | -15.2  | -0.3 |  -0.6   |   1.2   |
| 农牧饲渔 | 002746 | 仙坛股份 |  74.5  | -42.6  | -0.3 |   1.8   |   1.8   |
| 农牧饲渔 | 600097 | XD开创国 |  24.2  |  65.2  | -0.4 |   0.0   |  -1.8   |
| 农牧饲渔 | 600965 | 福成股份 |  56.1  |  26.3  | -0.4 |   1.9   |   2.4   |
| 农牧饲渔 | 002458 | 益生股份 |  85.4  |  -7.4  | -0.5 |   0.8   |  -0.7   |
| 农牧饲渔 | 603336 | 宏辉果蔬 |  28.2  |  50.2  | -0.5 |  -2.7   |   0.3   |
| 农牧饲渔 | 002548 |  金新农  |  42.8  |  -7.2  | -0.5 |   1.0   |  -1.3   |
