[行业>三日涨幅]
+------------+--------+----------+--------+--------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+--------+------+---------+---------+
| 非金属材料 | 300064 |  金刚退  |  11.0  |  -2.5  | 18.2 |  31.9   |  21.3   |
| 非金属材料 | 603260 | 合盛硅业 | 1349.0 |  16.4  | 10.0 |  24.2   |  25.9   |
|  铁路公路  | 603069 | 海汽集团 |  89.5  | -137.4 | 10.0 |  33.1   |  77.2   |
|  钢铁行业  | 002478 | 常宝股份 |  52.7  |  33.9  | 10.0 |  33.0   |  39.4   |
|  通信设备  | 603803 | 瑞斯康达 |  32.7  |  29.2  | 10.1 |   8.7   |   9.8   |
|  贸易行业  | 600753 | 东方银星 |  33.5  | 1086.2 | 10.0 |  23.2   |  18.1   |
|    证券    | 601788 | 光大证券 | 723.4  |  27.1  | 10.0 |  33.2   |  36.7   |
| 计算机设备 | 002512 | 达华智能 |  38.0  | -24.7  | 10.0 |  22.1   |  17.0   |
|  装修装饰  | 600209 | 退市罗顿 |  5.4   |  -9.4  | 9.7  |  27.8   |  36.3   |
|  装修装饰  | 001212 | 中旗新材 |  53.3  |  76.0  | 10.0 |  18.6   |  48.8   |
|  纺织服装  | 002674 | 兴业科技 |  32.7  | 210.1  | 10.0 |  11.6   |  15.6   |
|  石油行业  | 000096 | 广聚能源 |  61.4  | 163.7  | 10.0 |  18.7   |  22.3   |
|  石油行业  | 000554 | 泰山石油 |  31.5  | 277.6  | 10.1 |   4.0   |  13.5   |
|  电网设备  | 002339 | 积成电子 |  33.6  | -32.7  | 10.1 |   7.9   |  21.3   |
|  电源设备  | 002630 | 华西能源 |  45.3  |  -7.3  | 10.0 |  33.3   |  77.8   |
|  电子元件  | 002579 | 中京电子 |  47.3  | 199.7  | 10.0 |  10.3   |  15.1   |
|    燃气    | 600903 | 贵州燃气 | 107.1  | -43.2  | 10.1 |   9.2   |  32.9   |
|  煤炭行业  | 600121 | 郑州煤电 |  62.5  |  31.0  | 10.1 |  13.0   |  13.0   |
| 汽车零部件 | 300969 | 恒帅股份 |  77.8  |  61.2  | 11.6 |  31.7   |  18.0   |
| 汽车零部件 | 603997 | 继峰股份 | 117.8  | -78.3  | 10.0 |  29.4   |  19.8   |
| 汽车零部件 | 002703 | 浙江世宝 |  50.0  | -309.9 | 10.1 |  23.1   |  11.4   |
| 汽车零部件 | 002590 | 万安科技 |  44.1  | -453.2 | 10.1 |  15.7   |  23.3   |
| 汽车零部件 | 002708 | 光洋股份 |  32.3  | -15.7  | 10.1 |  15.1   |  16.3   |
| 汽车零部件 | 002101 | 广东鸿图 |  82.6  |  28.2  | 10.0 |  13.6   |  16.6   |
| 汽车零部件 | 605133 | 嵘泰股份 |  35.2  |  25.8  | 10.0 |  10.0   |  12.1   |
| 汽车零部件 | 300745 | 欣锐科技 |  57.1  | 202.3  | 13.8 |   4.8   |   2.8   |
| 汽车零部件 | 603917 | 合力科技 |  24.6  |  53.2  | 10.0 |   2.1   |  14.8   |
|  汽车服务  | 600335 | XD国机汽 | 152.0  | 538.7  | 10.0 |  33.4   |  34.9   |
|  汽车服务  | 600653 | 申华控股 |  51.0  | 558.8  | 10.1 |  17.0   |  15.9   |
|  汽车整车  | 000800 | 一汽解放 | 463.5  |  25.6  | 10.1 |   9.9   |   8.4   |
|  有色金属  | 002160 | 常铝股份 |  42.5  |  44.7  | 10.1 |  21.4   |  26.5   |
|  旅游酒店  | 000613 | 东海A退  |  2.2   |  50.0  | 10.9 |  -71.4  |  -71.4  |
|   小金属   | 600259 | 广晟有色 | 169.7  |  52.1  | 10.0 |  19.7   |  26.6   |
|   小金属   | 000633 | 合金投资 |  25.7  | 271.7  | 10.1 |  18.7   |  22.2   |
|  塑料制品  | 300325 |  德威退  |  3.0   |  -2.6  | 20.0 |  30.4   |  -49.1  |
|  塑料制品  | 002341 | 新纶新材 |  53.2  | -14.8  | 10.0 |  11.1   |  11.6   |
|   半导体   | 001270 | 铖昌科技 |  51.1  | 120.8  | 10.0 |  33.1   |  110.8  |
|  化肥行业  | 603938 | 三孚股份 | 162.7  |  27.0  | 10.0 |  25.0   |  32.9   |
|  化学制品  | 002909 | 集泰股份 |  29.8  | 1340.2 | 10.1 |  33.2   |  25.5   |
|  化学制品  | 002971 | 和远气体 |  43.6  |  42.2  | 10.0 |  25.5   |  16.7   |
| 光学光电子 | 002876 |  三利谱  |  61.8  |  22.8  | 10.0 |   8.1   |  18.2   |
| 互联网服务 | 002380 | 科远智慧 |  35.2  | 192.5  | 10.0 |  33.1   |  50.7   |
| 互联网服务 | 002657 | 中科金财 |  52.4  | -68.2  | 10.0 |  19.9   |  22.7   |
| 互联网服务 | 600870 | 退市厦华 |  2.8   |  41.8  | 10.4 |  17.8   |  -85.1  |
| 互联网服务 | 688787 | XD海天瑞 |  25.4  |  67.3  | 20.0 |  11.4   |  27.1   |
|  专用设备  | 000584 | 哈工智能 |  52.4  | -42.1  | 10.1 |  33.3   |  24.4   |
|  专用设备  | 301070 | 开勒股份 |  19.0  | -91.7  | 13.3 |  13.9   |  13.6   |
+------------+--------+----------+--------+--------+------+---------+---------+
