[行业>市值]
+----------+--------+----------+--------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
| 电力行业 | 000601 | 韶能股份 |  56.6  |  44.4   | -10.0 |  -10.9  |  -6.8   |
| 电力行业 | 000037 | 深南电A  |  56.2  |  -36.2  | 10.0  |  33.1   |  40.1   |
| 电力行业 | 600726 | *ST华源  |  53.3  |  -1.7   |  2.3  |   7.5   |   3.8   |
| 电力行业 | 600310 | 桂东电力 |  52.3  |  -14.2  | -0.8  |   0.6   |   0.8   |
| 电力行业 | 000862 | 银星能源 |  51.5  |  50.7   | -2.4  |   1.7   |   0.6   |
| 电力行业 | 600396 | 金山股份 |  50.4  |  -2.6   | 10.0  |  12.1   |  12.1   |
| 电力行业 | 000040 | 东旭蓝天 |  46.7  |  -20.2  |  1.0  |   2.3   |   1.9   |
| 电力行业 | 300125 | 聆达股份 |  45.3  |  -41.1  | -2.2  |   3.8   |   2.8   |
| 电力行业 | 600101 | 明星电力 |  42.3  |  25.4   | -2.6  |   3.9   |   0.9   |
| 电力行业 | 600979 | XD广安爱 |  40.4  |  58.8   |  0.0  |   0.1   |   0.5   |
| 电力行业 | 002616 | 长青集团 |  34.6  |  197.8  |  0.2  |   3.3   |   6.9   |
| 电力行业 | 600644 | 乐山电力 |  33.6  |  31.4   | -0.2  |   2.1   |   1.0   |
| 电力行业 | 600969 | 郴电国际 |  32.9  |  27.8   | -2.3  |  -4.8   |  -5.3   |
| 电力行业 | 600212 | 绿能慧充 |  31.8  | -113.3  |  3.7  |  13.3   |  13.1   |
| 电力行业 | 600505 | 西昌电力 |  31.0  |  -36.9  | -2.0  |  -0.7   |  -1.2   |
| 电力行业 | 605028 | 世茂能源 |  29.0  |  16.1   | -0.8  |   2.4   |   1.5   |
| 电力行业 | 605580 | 恒盛能源 |  24.9  |  15.4   | -0.5  |   1.6   |   1.1   |
| 电力行业 | 600719 |  ST热电  |  20.6  |  13.4   |  2.0  |   3.7   |  -4.7   |
| 电力行业 | 002499 | *ST科林  |  8.2   |  -8.8   |  0.7  |  -9.2   |  -9.4   |
+----------+--------+----------+--------+---------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+-------+---------+---------+
| 电力行业 | 000037 | 深南电A  |  56.2  |  -36.2  | 10.0  |  33.1   |  40.1   |
| 电力行业 | 600396 | 金山股份 |  50.4  |  -2.6   | 10.0  |  12.1   |  12.1   |
| 电力行业 | 603693 | 江苏新能 | 136.4  |  26.6   |  5.3  |   9.1   |  12.2   |
| 电力行业 | 600795 | 国电电力 | 706.3  |  16.7   |  5.0  |   7.3   |   6.2   |
| 电力行业 | 600027 | 华电国际 | 409.6  |  16.6   |  3.8  |   9.2   |   9.8   |
| 电力行业 | 600212 | 绿能慧充 |  31.8  | -113.3  |  3.7  |  13.3   |  13.1   |
| 电力行业 | 000767 | 晋控电力 | 128.0  | 1104.4  |  3.5  |   8.3   |  10.3   |
| 电力行业 | 600011 | 华能国际 | 1133.0 |  -29.6  |  3.3  |  13.0   |  18.4   |
| 电力行业 | 600726 | *ST华源  |  53.3  |  -1.7   |  2.3  |   7.5   |   3.8   |
| 电力行业 | 000690 | 宝新能源 | 101.2  |  674.5  |  2.2  |   3.3   |   1.5   |
| 电力行业 | 600025 | 华能水电 | 1262.0 |  42.5   |  2.2  |   2.0   |  -0.8   |
| 电力行业 | 600719 |  ST热电  |  20.6  |  13.4   |  2.0  |   3.7   |  -4.7   |
| 电力行业 | 601985 | 中国核电 | 1299.0 |  11.3   |  1.6  |   0.6   |   1.8   |
| 电力行业 | 000543 | 皖能电力 |  95.2  |  17.3   |  1.4  |   3.2   |   1.0   |
| 电力行业 | 600509 | 天富能源 |  60.2  |  -6.9   |  1.2  |   0.8   |  -1.1   |
| 电力行业 | 600452 | 涪陵电力 | 109.0  |  14.5   |  1.0  |   3.1   |   2.5   |
| 电力行业 | 000040 | 东旭蓝天 |  46.7  |  -20.2  |  1.0  |   2.3   |   1.9   |
| 电力行业 | 600578 | 京能电力 | 213.9  |  18.2   |  0.9  |   2.2   |   2.6   |
| 电力行业 | 600674 | 川投能源 | 529.6  |  23.7   |  0.8  |   2.3   |   1.5   |
| 电力行业 | 003816 | 中国广核 | 1419.0 |  12.4   |  0.7  |   0.4   |   0.7   |
| 电力行业 | 600642 | 申能股份 | 282.4  |  35.0   |  0.7  |   2.1   |   2.9   |
| 电力行业 | 002499 | *ST科林  |  8.2   |  -8.8   |  0.7  |  -9.2   |  -9.4   |
| 电力行业 | 600023 | 浙能电力 | 482.8  |  19.2   |  0.6  |   2.9   |   2.6   |
| 电力行业 | 600905 | 三峡能源 | 1829.0 |  17.8   |  0.5  |   2.2   |   1.9   |
| 电力行业 | 601991 | 大唐发电 | 468.2  |  -28.6  |  0.4  |   6.8   |   6.3   |
| 电力行业 | 000722 | 湖南发展 |  70.1  |  43.5   |  0.4  |   0.9   |  -1.5   |
| 电力行业 | 600021 | 上海电力 | 275.3  |  67.9   |  0.4  |  10.0   |   9.5   |
| 电力行业 | 600868 | 梅雁吉祥 |  59.2  |  505.6  |  0.3  |  -1.9   |  10.6   |
| 电力行业 | 002616 | 长青集团 |  34.6  |  197.8  |  0.2  |   3.3   |   6.9   |
| 电力行业 | 600886 | 国投电力 | 785.7  |  18.9   |  0.2  |   1.2   |   3.5   |
| 电力行业 | 000899 | 赣能股份 |  58.7  | -1446.8 |  0.2  |   1.7   |  -2.9   |
| 电力行业 | 002608 | 江苏国信 | 253.9  |  17.6   |  0.1  |  -0.9   |  -6.8   |
| 电力行业 | 600900 | 长江电力 | 5265.0 |  42.0   |  0.1  |  -0.3   |  -0.6   |
| 电力行业 | 600863 | 内蒙华电 | 254.5  |  12.8   |  0.0  |   5.4   |   1.6   |
| 电力行业 | 600979 | XD广安爱 |  40.4  |  58.8   |  0.0  |   0.1   |   0.5   |
| 电力行业 | 600167 | 联美控股 | 165.7  |   6.2   | -0.1  |  -1.1   |   0.0   |
| 电力行业 | 600644 | 乐山电力 |  33.6  |  31.4   | -0.2  |   2.1   |   1.0   |
| 电力行业 | 601908 |  京运通  | 167.8  |  470.1  | -0.3  |   3.0   |   3.0   |
| 电力行业 | 000027 | 深圳能源 | 302.1  |  14.6   | -0.3  |   0.4   |   2.0   |
| 电力行业 | 605580 | 恒盛能源 |  24.9  |  15.4   | -0.5  |   1.6   |   1.1   |
| 电力行业 | 600483 | 福能股份 | 272.7  |  10.6   | -0.6  |  10.1   |  10.2   |
| 电力行业 | 600982 | 宁波能源 |  58.1  |  32.9   | -0.6  |   0.2   |  -0.2   |
| 电力行业 | 600157 | 永泰能源 | 368.8  |  28.3   | -0.6  |  -2.4   |  -3.5   |
| 电力行业 | 002039 | 黔源电力 |  63.6  |  18.1   | -0.6  |   0.3   |   1.4   |
| 电力行业 | 605028 | 世茂能源 |  29.0  |  16.1   | -0.8  |   2.4   |   1.5   |
| 电力行业 | 600310 | 桂东电力 |  52.3  |  -14.2  | -0.8  |   0.6   |   0.8   |
| 电力行业 | 600995 | 文山电力 |  70.8  |  18.2   | -0.9  |   1.4   |   1.7   |
| 电力行业 | 000600 | 建投能源 |  78.8  |  28.3   | -0.9  |   1.9   |   1.1   |
| 电力行业 | 600780 | 通宝能源 |  60.5  |   5.7   | -0.9  |   1.5   |  -2.0   |
| 电力行业 | 000993 | 闽东电力 |  63.9  |  44.6   | -1.0  |   4.8   |   4.5   |
| 电力行业 | 600236 | XD桂冠电 | 470.6  |  15.5   | -1.0  |   0.3   |   0.2   |
| 电力行业 | 000883 | 湖北能源 | 334.4  |  15.2   | -1.2  |  -1.9   |  -2.9   |
| 电力行业 | 000791 | 甘肃电投 |  80.2  |  -72.8  | -1.2  |   2.4   |   1.7   |
| 电力行业 | 601619 | 嘉泽新能 | 102.0  |  12.8   | -1.2  |   3.0   |   1.4   |
| 电力行业 | 001289 | 龙源电力 | 1825.0 |  20.2   | -1.2  |   2.0   |   1.2   |
| 电力行业 | 600744 | 华银电力 |  91.7  |  -20.6  | -1.3  |   2.4   |   1.8   |
| 电力行业 | 000875 | 吉电股份 | 201.7  |  12.2   | -1.4  |   1.7   |   1.0   |
| 电力行业 | 601016 | 节能风电 | 239.6  |  14.2   | -1.4  |   4.4   |   2.4   |
| 电力行业 | 000531 | 穗恒运Ａ  |  61.6  |  -30.3  | -1.4  |  -1.2   |  -0.1   |
| 电力行业 | 600032 | 浙江新能 | 279.8  |  34.2   | -1.5  |   2.4   |   1.7   |
| 电力行业 | 600163 | 中闽能源 | 158.3  |  13.7   | -1.5  |   3.7   |   0.7   |
| 电力行业 | 000539 | 粤电力Ａ  | 228.4  |  -12.7  | -1.6  |   3.1   |   3.1   |
| 电力行业 | 601778 | 晶科科技 | 159.5  |  -66.6  | -1.6  |   2.8   |   1.9   |
| 电力行业 | 600821 | 金开新能 | 103.1  |  33.6   | -1.6  |   6.2   |   6.3   |
| 电力行业 | 600505 | 西昌电力 |  31.0  |  -36.9  | -2.0  |  -0.7   |  -1.2   |
| 电力行业 | 300125 | 聆达股份 |  45.3  |  -41.1  | -2.2  |   3.8   |   2.8   |
| 电力行业 | 600969 | 郴电国际 |  32.9  |  27.8   | -2.3  |  -4.8   |  -5.3   |
| 电力行业 | 000862 | 银星能源 |  51.5  |  50.7   | -2.4  |   1.7   |   0.6   |
| 电力行业 | 000966 | 长源电力 | 177.3  |  55.4   | -2.4  |   2.2   |  -0.9   |
| 电力行业 | 000591 |  太阳能  | 250.8  |  24.0   | -2.5  |   2.5   |   2.0   |
| 电力行业 | 600101 | 明星电力 |  42.3  |  25.4   | -2.6  |   3.9   |   0.9   |
| 电力行业 | 600116 | 三峡水利 | 199.1  |  504.8  | -2.7  |  -4.9   |  -0.8   |
| 电力行业 | 600098 | 广州发展 | 238.5  |  22.9   | -3.3  |  -3.4   |  -5.5   |
| 电力行业 | 000155 | 川能动力 | 322.9  |  36.9   | -3.9  |  -1.1   |  -2.2   |
| 电力行业 | 002015 | 协鑫能科 | 253.6  |  37.2   | -4.0  |   1.6   |  -1.6   |
| 电力行业 | 001896 | 豫能控股 |  88.2  |  -4.8   | -5.7  |  -2.0   |   9.2   |
| 电力行业 | 000601 | 韶能股份 |  56.6  |  44.4   | -10.0 |  -10.9  |  -6.8   |
+----------+--------+----------+--------+---------+-------+---------+---------+
