[行业>市值]
+------------+--------+----------+--------+--------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
| 房地产开发 | 000006 | 深振业Ａ  |  58.7  |  33.0  | 1.4  |   0.7   |  -2.5   |
| 房地产开发 | 600565 | 迪马股份 |  58.6  | -30.8  | 0.4  |   0.9   |   0.0   |
| 房地产开发 | 000042 | 中洲控股 |  57.6  |  39.7  | 2.0  |  -1.2   |  -7.0   |
| 房地产开发 | 600622 | 光大嘉宝 |  55.3  |  38.3  | 3.4  |   4.8   |   1.4   |
| 房地产开发 | 600708 | 光明地产 |  55.0  | 262.7  | 0.8  |   0.4   |  -2.8   |
| 房地产开发 | 600077 | 宋都股份 |  53.7  | -115.5 | -0.7 |  -2.9   |  -6.7   |
| 房地产开发 | 600067 | 冠城大通 |  52.7  |  48.2  | -3.3 |   1.1   |  -2.8   |
| 房地产开发 | 002016 | 世荣兆业 |  52.4  |  21.0  | 2.7  |   1.9   |  -2.4   |
| 房地产开发 | 600466 | 蓝光发展 |  52.2  |  -4.5  | 0.0  |   2.4   |   0.0   |
| 房地产开发 | 000797 | 中国武夷 |  52.1  | 124.3  | 0.0  |  -2.4   |  -7.3   |
| 房地产开发 | 000620 |  新华联  |  51.8  |  -2.9  | -2.1 |   0.7   |  -5.5   |
| 房地产开发 | 002305 | 南国置业 |  49.8  | -21.2  | 0.0  |  -3.7   |  -2.4   |
| 房地产开发 | 600503 | 华丽家族 |  47.0  |  18.1  | 1.0  |   1.7   |  -0.7   |
| 房地产开发 | 600743 | 华远地产 |  46.7  | -19.3  | 1.5  |   1.0   |  -0.5   |
| 房地产开发 | 000886 | 海南高速 |  45.5  | 1040.4 | 0.9  |  -3.2   |  -10.7  |
| 房地产开发 | 000926 | 福星股份 |  45.3  |  30.6  | 1.9  |   1.3   |  -0.6   |
| 房地产开发 | 600716 | 凤凰股份 |  44.4  |  16.7  | 0.0  |   0.8   |   1.3   |
| 房地产开发 | 600393 | 粤泰股份 |  42.9  | -14.9  | -5.6 |  -8.2   |  -6.6   |
| 房地产开发 | 000514 | 渝 开 发 |  42.0  | -86.2  | 0.2  |  -2.4   |  -5.5   |
| 房地产开发 | 000897 | 津滨发展 |  41.2  |  23.4  | 0.4  |  -0.4   |  -3.0   |
| 房地产开发 | 000918 |  嘉凯城  |  41.1  |  -5.8  | -0.4 |   0.9   |  -2.6   |
| 房地产开发 | 600173 | 卧龙地产 |  40.8  |  19.0  | 10.0 |  13.9   |   9.8   |
| 房地产开发 | 000667 | 美好置业 |  39.5  |  -7.3  | 0.6  |   1.3   |  -1.2   |
| 房地产开发 | 600382 | XDST广珠 |  39.5  |  16.8  | 1.0  |  -1.8   |   0.0   |
| 房地产开发 | 600533 | 栖霞建设 |  38.6  |  7.9   | 2.8  |   0.0   |  -3.2   |
| 房地产开发 | 600638 |  新黄浦  |  37.8  | 176.7  | 2.6  |   1.8   |  -2.4   |
| 房地产开发 | 000863 | 三湘印象 |  37.1  | -33.6  | 0.3  |  -1.0   |  -4.0   |
| 房地产开发 | 000558 | 莱茵体育 |  36.0  | -107.1 | 0.4  |  -1.1   |  -2.8   |
| 房地产开发 | 000732 |  ST泰禾  |  35.3  |  -2.2  | -0.7 |  -2.1   |   6.0   |
| 房地产开发 | 600683 | 京投发展 |  34.1  |  12.5  | 1.8  |   0.2   |  -3.2   |
| 房地产开发 | 600684 | 珠江股份 |  32.6  |  -6.2  | 10.1 |   7.0   |   3.2   |
| 房地产开发 | 600215 |  派斯林  |  31.7  |  35.7  | -0.4 |  -4.9   |  -3.7   |
| 房地产开发 | 600239 |  ST云城  |  30.7  |  -2.0  | 2.1  |   0.0   |   0.5   |
| 房地产开发 | 600665 |  天地源  |  29.5  | -27.3  | 1.5  |   0.6   |  -2.6   |
| 房地产开发 | 002133 | 广宇集团 |  27.6  |  15.7  | 1.4  |   0.8   |  -3.0   |
| 房地产开发 | 600159 | 大龙地产 |  25.7  | 116.1  | 5.4  |   5.1   |   2.3   |
| 房地产开发 | 600322 | 天房发展 |  23.1  |  -2.8  | 0.5  |   1.5   |  -0.9   |
| 房地产开发 | 000608 | 阳光股份 |  22.4  | -118.1 | 1.4  |   2.4   |  -0.7   |
| 房地产开发 | 600082 | 海泰发展 |  21.9  | -46.6  | 0.3  |  -0.9   |  -7.1   |
| 房地产开发 | 600234 | 科新发展 |  21.7  | -27.9  | -1.3 |  -1.4   |  -5.1   |
| 房地产开发 | 000616 |  ST海投  |  21.4  | -105.5 | 0.0  |  -1.3   |   0.0   |
| 房地产开发 | 000014 | 沙河股份 |  21.3  |  34.0  | 0.3  |  -3.5   |  -7.3   |
| 房地产开发 | 600692 | 亚通股份 |  21.2  | 182.9  | 1.0  |  -1.5   |  -4.3   |
| 房地产开发 | 600463 | 空港股份 |  21.1  | -103.1 | 0.3  |  -2.4   |  -4.6   |
| 房地产开发 | 000809 |  ST新城  |  20.8  | -16.0  | -4.9 |  -11.6  |  -13.7  |
| 房地产开发 | 600791 | 京能置业 |  20.3  | -26.0  | 2.0  |   0.7   |  -4.3   |
| 房地产开发 | 000573 | 粤宏远Ａ  |  19.7  | -78.3  | 1.0  |  -0.3   |  -1.0   |
| 房地产开发 | 000668 | 荣丰控股 |  16.1  | -64.4  | -1.0 |  -1.7   |  -3.0   |
| 房地产开发 | 000609 | 中迪投资 |  15.1  |  -9.7  | 0.6  |  -1.6   |  -1.6   |
| 房地产开发 | 002147 |  新光退  |  7.1   |  -1.2  | 0.0  |  14.7   |   5.4   |
+------------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+------------+--------+----------+--------+--------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+--------+------+---------+---------+
| 房地产开发 | 600684 | 珠江股份 |  32.6  |  -6.2  | 10.1 |   7.0   |   3.2   |
| 房地产开发 | 600173 | 卧龙地产 |  40.8  |  19.0  | 10.0 |  13.9   |   9.8   |
| 房地产开发 | 600657 | 信达地产 | 163.4  | 134.6  | 10.0 |  13.0   |   2.3   |
| 房地产开发 | 000540 | 中天金融 | 146.4  |  -3.8  | 8.3  |   5.6   |  18.8   |
| 房地产开发 | 600159 | 大龙地产 |  25.7  | 116.1  | 5.4  |   5.1   |   2.3   |
| 房地产开发 | 600048 | 保利发展 | 1900.0 |  18.8  | 4.8  |   2.2   |   3.9   |
| 房地产开发 | 600641 | 万业企业 | 175.4  | 161.0  | 4.2  |   4.5   |   3.9   |
| 房地产开发 | 001979 | 招商蛇口 | 978.5  |  55.1  | 4.0  |  -0.1   |   0.2   |
| 房地产开发 | 000656 | 金科股份 | 151.6  | -12.9  | 4.0  |   4.4   |  -6.6   |
| 房地产开发 | 000517 | 荣安地产 | 104.8  |  5.3   | 3.5  |   0.3   |  -0.6   |
| 房地产开发 | 600622 | 光大嘉宝 |  55.3  |  38.3  | 3.4  |   4.8   |   1.4   |
| 房地产开发 | 000002 | 万  科Ａ  | 2132.0 |  37.3  | 3.3  |   2.7   |   5.2   |
| 房地产开发 | 000031 |  大悦城  | 165.0  | -40.9  | 2.9  |   3.5   |  -0.3   |
| 房地产开发 | 600533 | 栖霞建设 |  38.6  |  7.9   | 2.8  |   0.0   |  -3.2   |
| 房地产开发 | 002016 | 世荣兆业 |  52.4  |  21.0  | 2.7  |   1.9   |  -2.4   |
| 房地产开发 | 000736 | 中交地产 | 114.7  | -69.0  | 2.7  |  -1.2   |  -7.9   |
| 房地产开发 | 600383 | 金地集团 | 540.4  |  21.6  | 2.7  |   1.9   |   3.0   |
| 房地产开发 | 600638 |  新黄浦  |  37.8  | 176.7  | 2.6  |   1.8   |  -2.4   |
| 房地产开发 | 000069 | 华侨城Ａ  | 464.2  |  65.8  | 2.5  |   1.6   |   0.9   |
| 房地产开发 | 600094 |  大名城  |  93.8  | -28.2  | 2.4  |   2.7   |   3.5   |
| 房地产开发 | 000036 | 华联控股 |  64.1  |  45.8  | 2.4  |   0.0   |   0.0   |
| 房地产开发 | 002314 | 南山控股 | 108.3  | -21.5  | 2.3  |  -2.9   |  -4.3   |
| 房地产开发 | 000402 | 金 融 街 | 174.6  |  4.7   | 2.3  |   1.2   |  -0.5   |
| 房地产开发 | 600239 |  ST云城  |  30.7  |  -2.0  | 2.1  |   0.0   |   0.5   |
| 房地产开发 | 600325 | 华发股份 | 142.3  |  5.0   | 2.1  |  -2.3   |  -2.9   |
| 房地产开发 | 600648 |  外高桥  | 156.3  |  4.8   | 2.1  |   1.2   |   0.5   |
| 房地产开发 | 600791 | 京能置业 |  20.3  | -26.0  | 2.0  |   0.7   |  -4.3   |
| 房地产开发 | 000042 | 中洲控股 |  57.6  |  39.7  | 2.0  |  -1.2   |  -7.0   |
| 房地产开发 | 601155 | 新城控股 | 557.1  |  27.4  | 2.0  |   1.3   |  -0.8   |
| 房地产开发 | 000926 | 福星股份 |  45.3  |  30.6  | 1.9  |   1.3   |  -0.6   |
| 房地产开发 | 600606 | 绿地控股 | 491.9  |  4.8   | 1.9  |   2.4   |  -0.3   |
| 房地产开发 | 600266 | 城建发展 |  90.9  |  -2.2  | 1.8  |  -0.2   |  -1.5   |
| 房地产开发 | 600683 | 京投发展 |  34.1  |  12.5  | 1.8  |   0.2   |  -3.2   |
| 房地产开发 | 600064 | 南京高科 | 136.1  |  5.1   | 1.8  |   1.5   |   1.2   |
| 房地产开发 | 600823 | 世茂股份 | 111.4  |  28.8  | 1.7  |   1.4   |  -0.7   |
| 房地产开发 | 600007 | 中国国贸 | 143.0  |  13.4  | 1.6  |  -3.1   |  -7.1   |
| 房地产开发 | 600743 | 华远地产 |  46.7  | -19.3  | 1.5  |   1.0   |  -0.5   |
| 房地产开发 | 600665 |  天地源  |  29.5  | -27.3  | 1.5  |   0.6   |  -2.6   |
| 房地产开发 | 600208 | 新湖中宝 | 241.6  |  12.3  | 1.4  |   1.1   |   0.7   |
| 房地产开发 | 600162 | 香江控股 |  71.7  |  46.0  | 1.4  |   2.4   |   0.5   |
| 房地产开发 | 002133 | 广宇集团 |  27.6  |  15.7  | 1.4  |   0.8   |  -3.0   |
| 房地产开发 | 000965 | 天保基建 |  63.7  |  49.5  | 1.4  |  -0.9   |  -7.0   |
| 房地产开发 | 000006 | 深振业Ａ  |  58.7  |  33.0  | 1.4  |   0.7   |  -2.5   |
| 房地产开发 | 000608 | 阳光股份 |  22.4  | -118.1 | 1.4  |   2.4   |  -0.7   |
| 房地产开发 | 600748 | 上实发展 |  69.2  | -185.5 | 1.4  |  -1.6   |  -3.1   |
| 房地产开发 | 000011 | 深物业A  |  73.7  |  8.4   | 1.3  |   3.3   |  -3.0   |
| 房地产开发 | 601512 | 中新集团 | 144.3  |  6.0   | 1.3  |   4.3   |   6.2   |
| 房地产开发 | 600223 | 鲁商发展 |  92.1  |  34.7  | 1.2  |  -0.8   |  -0.4   |
| 房地产开发 | 000048 | 京基智农 |  95.3  | -16.8  | 1.1  |   5.8   |   3.5   |
| 房地产开发 | 600503 | 华丽家族 |  47.0  |  18.1  | 1.0  |   1.7   |  -0.7   |
| 房地产开发 | 002244 | 滨江集团 | 247.4  |  27.1  | 1.0  |   3.2   |   2.6   |
| 房地产开发 | 002208 | 合肥城建 |  63.9  |  46.2  | 1.0  |  -2.6   |  -2.2   |
| 房地产开发 | 600382 | XDST广珠 |  39.5  |  16.8  | 1.0  |  -1.8   |   0.0   |
| 房地产开发 | 600692 | 亚通股份 |  21.2  | 182.9  | 1.0  |  -1.5   |  -4.3   |
| 房地产开发 | 600603 | 广汇物流 |  76.8  |  37.0  | 1.0  |  -8.4   |   8.3   |
| 房地产开发 | 600675 | 中华企业 | 188.4  | -42.9  | 1.0  |   1.0   |  -2.2   |
| 房地产开发 | 000573 | 粤宏远Ａ  |  19.7  | -78.3  | 1.0  |  -0.3   |  -1.0   |
| 房地产开发 | 600649 | 城投控股 | 108.8  |  5.7   | 0.9  |   1.6   |  -2.3   |
| 房地产开发 | 000886 | 海南高速 |  45.5  | 1040.4 | 0.9  |  -3.2   |  -10.7  |
| 房地产开发 | 600708 | 光明地产 |  55.0  | 262.7  | 0.8  |   0.4   |  -2.8   |
| 房地产开发 | 000961 | 中南建设 | 117.5  |  -4.8  | 0.7  |  -1.3   |  -4.1   |
| 房地产开发 | 600376 | 首开股份 | 123.8  |  -8.1  | 0.6  |   1.5   |  -1.8   |
| 房地产开发 | 000667 | 美好置业 |  39.5  |  -7.3  | 0.6  |   1.3   |  -1.2   |
| 房地产开发 | 600515 |  ST基础  | 371.3  | 123.6  | 0.6  |  -3.0   |  -3.3   |
| 房地产开发 | 600510 |  黑牡丹  |  86.4  |  73.8  | 0.6  |  -1.1   |  -5.8   |
| 房地产开发 | 000609 | 中迪投资 |  15.1  |  -9.7  | 0.6  |  -1.6   |  -1.6   |
| 房地产开发 | 000718 | 苏宁环球 | 104.4  |  19.7  | 0.6  |   1.8   |  -0.3   |
| 房地产开发 | 600736 | 苏州高新 |  60.1  |  30.4  | 0.6  |  -0.6   |  -2.2   |
| 房地产开发 | 600322 | 天房发展 |  23.1  |  -2.8  | 0.5  |   1.5   |  -0.9   |
| 房地产开发 | 600565 | 迪马股份 |  58.6  | -30.8  | 0.4  |   0.9   |   0.0   |
| 房地产开发 | 000897 | 津滨发展 |  41.2  |  23.4  | 0.4  |  -0.4   |  -3.0   |
| 房地产开发 | 600663 |  陆家嘴  | 429.6  |  16.4  | 0.4  |   0.4   |  -1.1   |
| 房地产开发 | 000558 | 莱茵体育 |  36.0  | -107.1 | 0.4  |  -1.1   |  -2.8   |
| 房地产开发 | 000014 | 沙河股份 |  21.3  |  34.0  | 0.3  |  -3.5   |  -7.3   |
| 房地产开发 | 600895 | 张江高科 | 187.7  | -20.6  | 0.3  |  -0.5   |  -2.4   |
| 房地产开发 | 000863 | 三湘印象 |  37.1  | -33.6  | 0.3  |  -1.0   |  -4.0   |
| 房地产开发 | 600639 | 浦东金桥 | 152.0  |  4.2   | 0.3  |  -0.2   |  -2.0   |
| 房地产开发 | 600082 | 海泰发展 |  21.9  | -46.6  | 0.3  |  -0.9   |  -7.1   |
| 房地产开发 | 000631 | 顺发恒业 |  85.4  |  51.2  | 0.3  |   0.0   |   0.6   |
| 房地产开发 | 600463 | 空港股份 |  21.1  | -103.1 | 0.3  |  -2.4   |  -4.6   |
| 房地产开发 | 600773 | 西藏城投 | 149.8  | 136.9  | 0.3  |   4.9   |   8.7   |
| 房地产开发 | 000514 | 渝 开 发 |  42.0  | -86.2  | 0.2  |  -2.4   |  -5.5   |
| 房地产开发 | 600466 | 蓝光发展 |  52.2  |  -4.5  | 0.0  |   2.4   |   0.0   |
| 房地产开发 | 000797 | 中国武夷 |  52.1  | 124.3  | 0.0  |  -2.4   |  -7.3   |
| 房地产开发 | 002305 | 南国置业 |  49.8  | -21.2  | 0.0  |  -3.7   |  -2.4   |
| 房地产开发 | 600716 | 凤凰股份 |  44.4  |  16.7  | 0.0  |   0.8   |   1.3   |
| 房地产开发 | 000616 |  ST海投  |  21.4  | -105.5 | 0.0  |  -1.3   |   0.0   |
| 房地产开发 | 002147 |  新光退  |  7.1   |  -1.2  | 0.0  |  14.7   |   5.4   |
| 房地产开发 | 600246 | 万通发展 | 206.4  | -139.6 | -0.4 |  -4.9   |  -3.0   |
| 房地产开发 | 000918 |  嘉凯城  |  41.1  |  -5.8  | -0.4 |   0.9   |  -2.6   |
| 房地产开发 | 600215 |  派斯林  |  31.7  |  35.7  | -0.4 |  -4.9   |  -3.7   |
| 房地产开发 | 600848 | 上海临港 | 344.6  |  28.4  | -0.5 |  -2.6   |  -0.9   |
| 房地产开发 | 600225 | 天津松江 | 102.0  | -32.2  | -0.7 |  -1.6   |  -3.5   |
| 房地产开发 | 000732 |  ST泰禾  |  35.3  |  -2.2  | -0.7 |  -2.1   |   6.0   |
| 房地产开发 | 600077 | 宋都股份 |  53.7  | -115.5 | -0.7 |  -2.9   |  -6.7   |
| 房地产开发 | 000671 | 阳 光 城 |  93.6  |  -1.6  | -0.9 |   2.3   |  -1.7   |
| 房地产开发 | 000668 | 荣丰控股 |  16.1  | -64.4  | -1.0 |  -1.7   |  -3.0   |
| 房地产开发 | 000838 | 财信发展 |  72.8  | 101.5  | -1.2 |  -7.0   |  -8.7   |
| 房地产开发 | 600234 | 科新发展 |  21.7  | -27.9  | -1.3 |  -1.4   |  -5.1   |
| 房地产开发 | 600340 | 华夏幸福 | 132.3  |  1.2   | -1.7 |   7.0   |   2.7   |
| 房地产开发 | 000537 | 广宇发展 | 222.6  |  41.1  | -2.0 |  -5.2   |  -12.4  |
| 房地产开发 | 000620 |  新华联  |  51.8  |  -2.9  | -2.1 |   0.7   |  -5.5   |
| 房地产开发 | 600185 | 格力地产 | 127.6  |  24.7  | -2.5 |  -0.4   |   0.3   |
| 房地产开发 | 000029 | 深深房Ａ  | 104.1  |  16.0  | -2.6 |   3.2   |   0.8   |
| 房地产开发 | 600067 | 冠城大通 |  52.7  |  48.2  | -3.3 |   1.1   |  -2.8   |
| 房地产开发 | 000809 |  ST新城  |  20.8  | -16.0  | -4.9 |  -11.6  |  -13.7  |
| 房地产开发 | 600393 | 粤泰股份 |  42.9  | -14.9  | -5.6 |  -8.2   |  -6.6   |
+------------+--------+----------+--------+--------+------+---------+---------+
