[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
| 煤炭行业 | 600985 | 淮北矿业 | 348.1  |  5.4   | -6.1  |  -4.4   |  -4.2   |
| 煤炭行业 | 600997 | 开滦股份 | 116.9  |  5.0   | -6.1  |  -4.5   |  -5.0   |
| 煤炭行业 | 601225 | 陕西煤业 | 2083.0 |  9.2   | -6.2  |  -1.2   |   0.9   |
| 煤炭行业 | 600508 | 上海能源 | 131.3  |  4.2   | -6.2  |  -0.7   |  -0.6   |
| 煤炭行业 | 601699 | 潞安环能 | 427.5  |  4.3   | -6.9  |  -4.0   |  -2.1   |
| 煤炭行业 | 601918 | 新集能源 | 128.7  |  6.1   | -6.9  |  -2.9   |  -5.2   |
| 煤炭行业 | 601666 | 平煤股份 | 296.6  |  4.5   | -7.0  |  -4.7   |  -4.8   |
| 煤炭行业 | 600121 | 郑州煤电 |  69.9  |  34.7  | -7.1  |  -0.9   |  -8.9   |
| 煤炭行业 | 600188 | 兖矿能源 | 1845.0 |  6.9   | -7.2  |  -5.4   |  -5.5   |
| 煤炭行业 | 601101 | 昊华能源 | 109.4  |  8.7   | -7.5  |  -5.9   |  -9.8   |
| 煤炭行业 | 601898 | 中煤能源 | 1331.0 |  4.9   | -7.5  |  -2.9   |  -3.6   |
| 煤炭行业 | 600123 | 兰花科创 | 182.2  |  5.2   | -8.0  |  -2.3   |  -6.2   |
| 煤炭行业 | 600348 | 华阳股份 | 333.1  |  6.4   | -8.2  |  -9.2   |  -9.2   |
| 煤炭行业 | 000937 | 冀中能源 | 245.6  |  6.2   | -8.3  |  -6.6   |  -11.9  |
| 煤炭行业 | 601001 | 晋控煤业 | 266.5  |  7.4   | -9.9  |  -13.0  |  -7.5   |
| 煤炭行业 | 600546 | 山煤国际 | 327.9  |  5.0   | -10.0 |  -12.9  |  -16.8  |
+----------+--------+----------+--------+--------+-------+---------+---------+
