[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
| 化学原料 | 000510 |  新金路  |  35.0  |  27.4  |  1.1  |  -1.9   |  -2.5   |
| 化学原料 | 600714 | 金瑞矿业 |  34.8  |  27.0  |  1.1  |  -1.5   |  -6.4   |
| 化学原料 | 600844 | 丹化科技 |  31.1  | -438.9 |  0.7  |  -2.9   |  -3.2   |
| 化学原料 | 600423 | 柳化股份 |  30.1  | 225.9  |  0.3  |   0.3   |   0.3   |
| 化学原料 | 301065 | 本立科技 |  28.1  |  44.2  | -1.6  |  -5.7   |  -4.2   |
| 化学原料 | 000635 |  英力特  |  27.4  | -16.4  |  2.1  |  -1.0   |  -1.9   |
| 化学原料 | 301076 | 新瀚新材 |  27.3  |  26.4  |  0.5  |  -3.1   |   0.8   |
| 化学原料 | 300927 | 江天化学 |  26.5  |  27.9  |  0.3  |  -4.5   |   7.6   |
| 化学原料 | 301059 |  金三江  |  19.8  |  35.0  | -0.7  |  -2.5   |  -4.4   |
| 化学原料 | 003017 | 大洋生物 |  19.3  |  57.2  | -0.2  |  -2.2   |  -1.0   |
| 化学原料 | 600319 | 亚星化学 |  17.8  | -117.9 |  0.4  |  -2.9   |  -2.6   |
+----------+--------+----------+--------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 化学原料 | 002145 | 中核钛白 | 273.4  |  22.7  |  9.8  |  16.4   |  28.9   |
| 化学原料 | 002601 | 龙佰集团 | 535.4  |  12.6  |  6.6  |   7.0   |  10.5   |
| 化学原料 | 688267 |  中触媒  |  61.0  |  45.8  |  5.1  |   5.5   |   1.9   |
| 化学原料 | 300082 | 奥克股份 |  90.5  |  22.7  |  4.5  |   4.1   |  13.6   |
| 化学原料 | 600409 | 三友化工 | 167.2  |  17.4  |  3.7  |   0.2   |  -0.2   |
| 化学原料 | 002136 |  安纳达  |  36.9  |  16.3  |  3.4  |   3.6   |  12.3   |
| 化学原料 | 301238 | 瑞泰新材 | 294.0  |  25.5  |  3.4  |   2.9   |  10.8   |
| 化学原料 | 000683 | 远兴能源 | 376.7  |  11.9  |  2.6  |  -0.7   |   2.6   |
| 化学原料 | 000635 |  英力特  |  27.4  | -16.4  |  2.1  |  -1.0   |  -1.9   |
| 化学原料 | 601678 | 滨化股份 | 121.2  |  8.2   |  1.6  |  -1.5   |  -1.7   |
| 化学原料 | 002002 | 鸿达兴业 | 110.5  |  27.0  |  1.4  |  -2.8   |  -4.8   |
| 化学原料 | 002469 | 三维化学 |  37.3  |  14.8  |  1.4  |   2.1   |   3.4   |
| 化学原料 | 600727 | 鲁北化工 |  46.0  |  21.4  |  1.3  |   1.9   |   6.9   |
| 化学原料 | 600610 |  中毅达  | 183.9  | 255.6  |  1.2  |  -0.1   |   1.5   |
| 化学原料 | 600935 | 华塑股份 | 205.9  |  22.1  |  1.2  |  12.2   |  12.0   |
| 化学原料 | 603113 | 金能科技 |  93.9  |  18.9  |  1.2  |  -1.4   |  -0.5   |
| 化学原料 | 600746 | 江苏索普 | 131.5  |  8.1   |  1.2  |  -2.5   |  -2.2   |
| 化学原料 | 600722 | 金牛化工 |  37.3  |  76.7  |  1.1  |  -1.3   |   1.3   |
| 化学原料 | 600714 | 金瑞矿业 |  34.8  |  27.0  |  1.1  |  -1.5   |  -6.4   |
| 化学原料 | 000510 |  新金路  |  35.0  |  27.4  |  1.1  |  -1.9   |  -2.5   |
| 化学原料 | 002386 | 天原股份 |  86.8  |  12.6  |  0.9  |  -1.9   |   4.0   |
| 化学原料 | 301149 | 隆华新材 |  63.8  |  46.1  |  0.8  |  -3.0   |  -5.7   |
| 化学原料 | 600844 | 丹化科技 |  31.1  | -438.9 |  0.7  |  -2.9   |  -3.2   |
| 化学原料 | 600929 | 雪天盐业 | 140.1  |  24.6  |  0.6  |  -1.2   |  12.6   |
| 化学原料 | 000990 | 诚志股份 | 131.4  |  22.4  |  0.5  |  -3.1   |  -4.4   |
| 化学原料 | 301076 | 新瀚新材 |  27.3  |  26.4  |  0.5  |  -3.1   |   0.8   |
| 化学原料 | 603663 | 三祥新材 |  45.1  |  37.0  |  0.4  |  -7.0   |  -6.6   |
| 化学原料 | 600277 | 亿利洁能 | 170.2  |  30.0  |  0.4  |  -4.4   |  -4.4   |
| 化学原料 | 600426 | 华鲁恒升 | 601.5  |  6.2   |  0.4  |  -1.8   |  -1.6   |
| 化学原料 | 600319 | 亚星化学 |  17.8  | -117.9 |  0.4  |  -2.9   |  -2.6   |
| 化学原料 | 300927 | 江天化学 |  26.5  |  27.9  |  0.3  |  -4.5   |   7.6   |
| 化学原料 | 600423 | 柳化股份 |  30.1  | 225.9  |  0.3  |   0.3   |   0.3   |
| 化学原料 | 600623 | 华谊集团 | 165.0  |  6.1   |  0.3  |  -2.9   |  -1.8   |
| 化学原料 | 000830 | 鲁西化工 | 335.6  |  6.3   |  0.1  |  -1.8   |   1.6   |
| 化学原料 | 002748 | 世龙实业 |  36.2  |  16.6  |  0.1  |   0.4   |   5.5   |
| 化学原料 | 000422 | 湖北宜化 | 194.8  |  7.6   |  0.1  |  -2.9   |   5.8   |
| 化学原料 | 300834 | 星辉环材 |  57.3  |  28.0  |  0.0  |  -2.3   |  -2.0   |
| 化学原料 | 600075 | 新疆天业 | 106.4  |  9.6   |  0.0  |  -1.6   |  -1.4   |
| 化学原料 | 000822 | 山东海化 |  92.3  |  12.6  |  0.0  |   5.7   |   5.1   |
| 化学原料 | 603299 | 苏盐井神 |  99.2  |  10.3  | -0.1  |  -2.7   |   5.2   |
| 化学原料 | 002092 | 中泰化学 | 198.3  |  11.2  | -0.1  |  -2.4   |  -0.9   |
| 化学原料 | 300891 | 惠云钛业 |  52.8  |  45.4  | -0.1  |   3.0   |   9.8   |
| 化学原料 | 601568 | 北元集团 | 244.3  |  11.8  | -0.2  |  -1.9   |  -3.8   |
| 化学原料 | 601216 | 君正集团 | 389.0  |  11.1  | -0.2  |  -3.0   |  -4.0   |
| 化学原料 | 003017 | 大洋生物 |  19.3  |  57.2  | -0.2  |  -2.2   |  -1.0   |
| 化学原料 | 000818 | 航锦科技 | 223.7  |  61.9  | -0.3  |  -2.3   |  -1.1   |
| 化学原料 | 603077 | 和邦生物 | 379.7  |  9.1   | -0.5  |  -1.1   |   3.9   |
| 化学原料 | 301059 |  金三江  |  19.8  |  35.0  | -0.7  |  -2.5   |  -4.4   |
| 化学原料 | 002109 | 兴化股份 |  61.2  |  6.6   | -0.7  |  -4.9   |   2.8   |
| 化学原料 | 301090 | 华润材料 | 156.8  |  19.2  | -0.8  |  -1.6   |  -1.9   |
| 化学原料 | 600367 | 红星发展 |  69.2  |  20.8  | -0.8  |   0.0   |   8.4   |
| 化学原料 | 000707 | 双环科技 |  74.9  |  9.7   | -0.9  |  -0.6   |   1.3   |
| 化学原料 | 002648 | 卫星化学 | 599.3  |  9.8   | -1.0  |  -4.2   |  -2.2   |
| 化学原料 | 600955 | 维远股份 | 159.1  |  13.1  | -1.1  |   0.2   |   0.7   |
| 化学原料 | 301256 | 华融化学 |  48.1  | 190.9  | -1.1  |  -6.3   |  -9.8   |
| 化学原料 | 301069 | 凯盛新材 | 186.8  |  67.8  | -1.3  |  -2.2   |   4.0   |
| 化学原料 | 603213 | 镇洋发展 |  65.9  |  15.8  | -1.3  |   0.7   |   2.0   |
