[行业>市值]
+------------+--------+----------+--------+--------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
| 房地产开发 | 000609 | 中迪投资 |  14.7  |  -9.5  | -4.8 |  -8.0   |  -7.7   |
+------------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+------------+--------+----------+--------+--------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+--------+------+---------+---------+
| 房地产开发 | 600215 |  派斯林  |  41.2  |  46.4  | 10.1 |   6.0   |   5.5   |
| 房地产开发 | 600641 | 万业企业 | 264.6  | 242.8  | 8.2  |  12.3   |  35.3   |
| 房地产开发 | 600246 | 万通发展 | 216.9  | -146.7 | 3.0  |   0.0   |   0.3   |
| 房地产开发 | 001979 | 招商蛇口 | 1019.0 |  57.4  | -0.7 |  -3.0   |   5.1   |
| 房地产开发 | 600663 |  陆家嘴  | 391.7  |  17.2  | -0.7 |  -4.0   |  -2.0   |
| 房地产开发 | 600716 | 凤凰股份 |  44.4  |  16.7  | -1.0 |   0.2   |   4.4   |
| 房地产开发 | 600048 | 保利发展 | 1920.0 |  8.9   | -1.3 |  -5.5   |  -0.4   |
| 房地产开发 | 600007 | 中国国贸 | 141.5  |  13.2  | -1.8 |  -5.0   |  -6.2   |
| 房地产开发 | 600094 |  大名城  |  79.2  | -23.8  | -1.8 |  -3.0   |  -4.8   |
| 房地产开发 | 000002 |  万科Ａ   | 1921.0 |  33.6  | -2.1 |  -6.4   |  -5.6   |
| 房地产开发 | 600648 |  外高桥  | 140.4  |  4.3   | -2.1 |  -3.7   |  -2.4   |
| 房地产开发 | 600463 | 空港股份 |  22.0  | -107.2 | -2.3 |  -5.1   |  -0.3   |
| 房地产开发 | 600064 | 南京高科 | 114.2  |  4.3   | -2.4 |  -1.1   |   0.6   |
| 房地产开发 | 000069 | 华侨城Ａ  | 444.5  |  63.0  | -2.5 |  -5.4   |  -2.9   |
| 房地产开发 | 600266 | 城建发展 |  87.3  |  -2.1  | -2.5 |  -3.5   |  -0.8   |
| 房地产开发 | 600895 | 张江高科 | 176.2  | -19.3  | -2.6 |  -3.6   |  -1.2   |
| 房地产开发 | 600848 | 上海临港 | 301.7  |  24.8  | -2.8 |  -2.6   |  -1.1   |
| 房地产开发 | 600340 | 华夏幸福 | 110.4  |  1.0   | -2.8 |  -6.9   |  -3.8   |
| 房地产开发 | 600466 | 蓝光发展 |  42.8  |  -3.7  | -2.8 |  -7.2   |  -4.1   |
| 房地产开发 | 600675 | 中华企业 | 170.7  | -38.8  | -2.8 |  -4.1   |  -1.8   |
| 房地产开发 | 601512 | 中新集团 | 125.8  |  5.3   | -2.8 |  -3.7   |  -2.3   |
| 房地产开发 | 600639 | 浦东金桥 | 128.1  |  3.5   | -2.9 |  -5.6   |  -3.9   |
| 房地产开发 | 600649 | 城投控股 | 101.2  |  5.3   | -2.9 |  -4.5   |  -2.9   |
| 房地产开发 | 600708 | 光明地产 |  49.9  | 238.3  | -3.0 |  -5.5   |  -2.6   |
| 房地产开发 | 600208 | 新湖中宝 | 219.3  |  11.2  | -3.0 |  -4.5   |  -3.8   |
| 房地产开发 | 000036 | 华联控股 |  56.8  |  40.6  | -3.0 |  -3.5   |  -1.8   |
| 房地产开发 | 600383 | 金地集团 | 497.5  |  19.9  | -3.2 |  -7.8   |  -3.2   |
| 房地产开发 | 600239 |  ST云城  |  29.1  |  -1.9  | -3.2 |  -7.2   |  -6.2   |
| 房地产开发 | 600515 |  ST基础  | 343.9  | 114.5  | -3.2 |  -5.9   |  -7.7   |
| 房地产开发 | 002244 | 滨江集团 | 282.8  |  31.1  | -3.3 |  -7.2   |  -0.1   |
| 房地产开发 | 000006 | 深振业Ａ  |  54.7  |  30.8  | -3.3 |  -5.2   |  -3.1   |
| 房地产开发 | 600325 | 华发股份 | 159.0  |  5.6   | -3.4 |  -2.5   |   5.9   |
| 房地产开发 | 600823 | 世茂股份 |  96.0  |  24.9  | -3.4 |  -7.2   |  -1.9   |
| 房地产开发 | 600225 | 天津松江 | 113.3  | -35.8  | -3.5 |   2.8   |   7.1   |
| 房地产开发 | 600159 | 大龙地产 |  22.9  | 103.3  | -3.5 |  -6.4   |  -1.8   |
| 房地产开发 | 600638 |  新黄浦  |  35.1  | 164.4  | -3.5 |  -5.3   |  -3.7   |
| 房地产开发 | 000402 |  金融街  | 162.0  |  4.3   | -3.6 |  -6.1   |  -4.2   |
| 房地产开发 | 600067 | 冠城大通 |  48.7  |  44.5  | -3.6 |  -5.7   |  -4.4   |
| 房地产开发 | 600376 | 首开股份 | 110.9  |  -7.2  | -3.6 |  -5.1   |  -1.1   |
| 房地产开发 | 600743 | 华远地产 |  43.6  | -18.1  | -3.6 |  -6.1   |  -3.1   |
| 房地产开发 | 000031 |  大悦城  | 146.6  | -36.3  | -3.7 |  -6.6   |  -3.7   |
| 房地产开发 | 600565 | 迪马股份 |  53.3  | -28.0  | -3.7 |  -4.1   |  -1.4   |
| 房地产开发 | 600684 | 珠江股份 |  26.4  |  -5.0  | -3.7 |  -6.1   |  -3.4   |
| 房地产开发 | 000886 | 海南高速 |  40.1  | 918.3  | -3.8 |  -6.7   |  -6.2   |
| 房地产开发 | 002314 | 南山控股 |  95.9  | -19.0  | -3.8 |  -4.3   |  -2.5   |
| 房地产开发 | 000011 | 深物业A  |  60.0  |  6.8   | -3.8 |  -6.8   |  -4.1   |
| 房地产开发 | 600223 | 鲁商发展 |  91.0  |  34.3  | -3.8 |  -7.4   |  -2.6   |
| 房地产开发 | 002133 | 广宇集团 |  25.1  |  14.3  | -3.9 |  -6.6   |  -4.4   |
| 房地产开发 | 600683 | 京投发展 |  31.0  |  11.4  | -3.9 |  -5.9   |  -3.9   |
| 房地产开发 | 600748 | 上实发展 |  62.0  | -166.2 | -4.0 |  -6.4   |  -2.6   |
| 房地产开发 | 600162 | 香江控股 |  64.2  |  41.2  | -4.1 |  -5.0   |  -4.1   |
| 房地产开发 | 600606 | XR绿地控 | 428.7  |  4.2   | -4.1 |  -7.3   |  -3.3   |
| 房地产开发 | 600173 | 卧龙地产 |  35.9  |  16.7  | -4.1 |  -6.0   |  -2.1   |
| 房地产开发 | 002208 | 合肥城建 |  59.1  |  42.8  | -4.2 |  -6.2   |  -4.8   |
| 房地产开发 | 000897 | 津滨发展 |  36.9  |  20.9  | -4.2 |  -6.6   |  -3.8   |
| 房地产开发 | 000718 | 苏宁环球 | 102.9  |  19.4  | -4.2 |  -7.6   |  -4.2   |
| 房地产开发 | 600692 | 亚通股份 |  20.6  | 178.0  | -4.2 |  -6.2   |  -4.4   |
| 房地产开发 | 000558 | 莱茵体育 |  34.8  | -103.7 | -4.3 |  -6.2   |  -4.9   |
| 房地产开发 | 600382 |  ST广珠  |  35.2  |  15.0  | -4.3 |  -5.3   |  -1.8   |
| 房地产开发 | 000961 | 中南建设 | 101.0  |  -4.2  | -4.3 |  -12.9  |   0.4   |
| 房地产开发 | 600393 | 粤泰股份 |  38.5  | -13.4  | -4.4 |  -5.6   |  -4.4   |
| 房地产开发 | 600791 | 京能置业 |  18.6  | -23.8  | -4.4 |  -7.2   |  -3.5   |
| 房地产开发 | 000042 | 中洲控股 |  54.2  |  37.3  | -4.5 |  -9.2   |  -7.5   |
| 房地产开发 | 000667 | 美好置业 |  37.0  |  -6.8  | -4.5 |  -6.2   |  -2.0   |
| 房地产开发 | 000838 | 财信发展 |  65.3  | -20.1  | -4.5 |  -11.1  |  -9.7   |
| 房地产开发 | 000517 | 荣安地产 |  92.3  |  4.7   | -4.6 |  -7.3   |  -3.0   |
| 房地产开发 | 600807 | 济南高新 |  32.8  |  -5.9  | -4.6 |  -6.1   |  -6.8   |
| 房地产开发 | 000809 |  ST新城  |  21.9  | -16.9  | -4.7 |  -2.2   |   0.8   |
| 房地产开发 | 000732 |  ST泰禾  |  29.4  |  -1.8  | -4.8 |  -11.9  |  -4.8   |
| 房地产开发 | 000609 | 中迪投资 |  14.7  |  -9.5  | -4.8 |  -8.0   |  -7.7   |
| 房地产开发 | 000048 | 京基智农 | 101.2  | -17.9  | -4.9 |  -5.8   |  -4.7   |
| 房地产开发 | 000616 |  ST海投  |  22.3  | -109.7 | -4.9 |  -4.9   |  -4.3   |
| 房地产开发 | 000573 | 粤宏远Ａ  |  19.9  | -78.8  | -4.9 |  -6.9   |  -1.3   |
| 房地产开发 | 600665 |  天地源  |  26.8  | -24.9  | -4.9 |  -6.9   |  -1.9   |
| 房地产开发 | 600322 | 天房发展 |  21.2  |  -2.5  | -5.0 |  -8.1   |  -4.5   |
| 房地产开发 | 000014 | 沙河股份 |  19.0  |  30.3  | -5.0 |  -7.2   |  -5.0   |
| 房地产开发 | 000608 | 阳光股份 |  20.9  | -109.8 | -5.1 |  -9.2   |  -2.1   |
| 房地产开发 | 600603 | 广汇物流 | 134.3  |  64.7  | -5.1 |   9.7   |  35.4   |
| 房地产开发 | 000926 | 福星股份 |  40.1  |  27.0  | -5.2 |  -7.7   |  -6.2   |
| 房地产开发 | 600185 | 格力地产 | 106.1  |  20.5  | -5.2 |  -6.8   |  -6.5   |
| 房地产开发 | 600533 | 栖霞建设 |  33.5  |  6.8   | -5.3 |  -7.3   |  -3.3   |
| 房地产开发 | 600503 | 华丽家族 |  48.2  |  18.6  | -5.3 |  -5.0   |  -1.6   |
| 房地产开发 | 600077 | 宋都股份 |  42.4  | -91.0  | -5.4 |  -10.2  |  -8.1   |
| 房地产开发 | 000656 | 金科股份 | 129.2  | -11.0  | -5.5 |  -9.4   |  -5.5   |
| 房地产开发 | 600736 | 苏州高新 |  57.2  |  29.0  | -5.5 |  -8.0   |  -7.1   |
| 房地产开发 | 000620 |  新华联  |  41.9  |  -2.3  | -5.6 |  -9.4   |  -8.7   |
| 房地产开发 | 000797 | 中国武夷 |  44.1  | 105.2  | -5.7 |  -8.8   |  -6.6   |
| 房地产开发 | 000540 | 中天金融 | 114.2  |  -3.0  | -5.8 |  -7.9   |  -6.3   |
| 房地产开发 | 000918 |  嘉凯城  |  41.0  |  -5.7  | -5.8 |  -13.4  |   4.6   |
| 房地产开发 | 601155 | 新城控股 | 435.6  |  21.4  | -5.9 |  -10.7  |  -7.0   |
| 房地产开发 | 600510 |  黑牡丹  |  75.2  |  64.3  | -6.0 |  -7.7   |  -4.4   |
| 房地产开发 | 000965 | 天保基建 |  50.9  |  39.5  | -6.1 |  -11.1  |  -10.5  |
| 房地产开发 | 002305 | 南国置业 |  38.9  | -16.6  | -6.3 |  -11.8  |  -8.6   |
| 房地产开发 | 000514 |  渝开发  |  34.0  | -69.8  | -6.3 |  -10.4  |  -10.0  |
