[行业>市值]
+------+--------+----------+--------+---------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
| 电池 | 300037 |  新宙邦  | 335.2  |  16.4   | -2.7 |  -0.8   |  -2.4   |
| 电池 | 300457 | 赢合科技 | 188.6  |  73.1   | -2.8 |  -4.0   |  -0.7   |
| 电池 | 000049 | 德赛电池 | 130.1  |  21.1   | -3.4 |  -4.1   |   1.0   |
| 电池 | 688345 |  博力威  |  76.8  |  75.6   | -3.5 |   4.2   |  10.5   |
| 电池 | 002580 | 圣阳股份 |  41.7  |  48.4   | -3.5 |  -2.0   |   4.4   |
| 电池 | 688388 | 嘉元科技 | 183.7  |  26.4   | -3.7 |  -3.0   |  -0.4   |
| 电池 | 835185 |  贝特瑞  | 458.6  |  25.4   | -3.8 |  -7.8   |  -5.8   |
| 电池 | 300568 | 星源材质 | 380.0  |  56.7   | -3.8 |   3.0   |   2.0   |
| 电池 | 688779 | 长远锂科 | 370.0  |  30.4   | -3.9 |  -0.1   |  -2.1   |
| 电池 | 300438 | 鹏辉能源 | 341.2  |  94.2   | -4.3 |  -1.0   |   0.4   |
| 电池 | 300207 |  欣旺达  | 500.3  |  131.8  | -4.4 |  -2.6   |  -2.5   |
| 电池 | 601311 | 骆驼股份 | 139.7  |  24.9   | -4.4 |  11.3   |  11.3   |
| 电池 | 002074 | 国轩高科 | 687.7  |  533.9  | -4.5 |  -4.2   |  -8.0   |
| 电池 | 688772 | 珠海冠宇 | 283.9  |  139.4  | -4.8 |  -3.6   |  -5.4   |
| 电池 | 300919 | 中伟股份 | 771.2  |  75.7   | -5.0 |   2.3   |  -3.8   |
| 电池 | 688707 | 振华新材 | 309.8  |  22.6   | -5.1 |  -7.1   |  -7.1   |
| 电池 | 300116 |  保力新  |  86.7  | -107.5  | -5.3 |  -4.4   |  -3.0   |
| 电池 | 002192 | 融捷股份 | 338.5  |  33.3   | -5.3 |  -1.6   |  -2.6   |
| 电池 | 002245 | 蔚蓝锂芯 | 209.4  |  26.2   | -5.6 |  -9.1   |  -5.4   |
| 电池 | 600110 | 诺德股份 | 185.9  |  36.6   | -5.7 |  -4.6   |  -1.8   |
| 电池 | 688006 | 杭可科技 | 284.7  |  76.0   | -5.8 |  -0.9   |  -3.5   |
| 电池 | 600847 | 万里股份 |  28.2  |  -63.5  | -6.0 |  -0.1   |  -1.6   |
| 电池 | 300890 |  翔丰华  |  56.4  |  38.4   | -6.7 |  -3.3   |   1.5   |
| 电池 | 301222 | 浙江恒威 |  32.9  |  40.9   | -6.9 |   0.9   |   5.0   |
| 电池 | 300340 | 科恒股份 |  33.5  |  53.1   | -7.0 |  -8.4   |  -3.5   |
| 电池 | 605378 | 野马电池 |  31.9  |  297.6  | -7.2 |  -6.3   |  -2.3   |
| 电池 | 002733 | 雄韬股份 |  67.7  |  144.4  | -7.4 |  -2.9   |   1.9   |
+------+--------+----------+--------+---------+------+---------+---------+
