[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
| 通信服务 | 000971 |  ST高升  |  19.7  |  -9.6  | -4.1 |  -7.8   |  -0.5   |
| 通信服务 | 300736 | 百邦科技 |  12.8  | -37.2  | -4.2 |  -3.0   |  -2.1   |
| 通信服务 | 600289 |  ST信通  |  18.4  |  -7.7  | -4.3 |  -4.6   |  -4.3   |
| 通信服务 | 002467 |  二六三  |  55.4  |  38.6  | -4.7 |  -4.7   |  -3.1   |
| 通信服务 | 603220 | 中贝通信 |  38.9  |  95.7  | -4.8 |  -5.6   |  -2.8   |
| 通信服务 | 600804 | ST鹏博士 |  55.2  |  6.8   | -4.9 |  -8.3   |  -6.2   |
| 通信服务 | 300211 | 亿通科技 |  25.0  |  83.8  | -4.9 |  -6.9   |  -4.7   |
| 通信服务 | 300183 | 东软载波 |  65.6  |  75.3  | -5.0 |  -5.7   |  -1.3   |
| 通信服务 | 000889 |  ST中嘉  |  17.3  | -48.1  | -5.1 |  -8.4   |  -13.2  |
| 通信服务 | 300597 | 吉大通信 |  19.2  | 106.3  | -5.3 |  -5.9   |  -3.6   |
| 通信服务 | 300050 | 世纪鼎利 |  22.9  |  83.0  | -5.3 |  -1.2   |   1.8   |
| 通信服务 | 300310 | 宜通世纪 |  36.4  | 655.7  | -5.5 |  -4.6   |  -1.9   |
| 通信服务 | 002115 | 三维通信 |  35.4  |  54.2  | -5.6 |  -3.7   |  -1.8   |
| 通信服务 | 300025 | 华星创业 |  27.8  | -411.6 | -5.6 |  -7.8   |   1.5   |
| 通信服务 | 300571 | 平治信息 |  59.2  |  13.1  | -5.7 |  -8.3   |  -9.7   |
| 通信服务 | 300292 | 吴通控股 |  46.0  | -100.5 | -5.8 |  -7.0   |  -2.6   |
| 通信服务 | 301139 | 元道通信 |  39.3  |  49.5  | -5.9 |  -5.6   |  -5.2   |
| 通信服务 | 300603 | 立昂技术 |  35.3  | 127.6  | -5.9 |  -7.0   |  -5.7   |
| 通信服务 | 300921 | 南凌科技 |  23.9  |  44.5  | -6.0 |  -7.7   |  -3.6   |
| 通信服务 | 300578 | 会畅通讯 |  31.3  |  59.5  | -6.1 |  -6.5   |  -5.0   |
| 通信服务 | 603421 | 鼎信通讯 |  53.4  | -13.2  | -6.2 |  -7.8   |  -12.9  |
| 通信服务 | 002544 | 普天科技 | 155.3  | 202.5  | -6.3 |  -9.0   |  -3.8   |
| 通信服务 | 002093 | 国脉科技 |  55.2  |  96.2  | -6.8 |  -6.2   |  -5.3   |
| 通信服务 | 300959 | 线上线下 |  23.9  |  34.7  | -7.1 |  -7.3   |  -4.0   |
| 通信服务 | 300560 |  中富通  |  31.8  |  53.9  | -7.3 |  -8.6   |  -5.6   |
| 通信服务 | 300081 | 恒信东方 |  46.0  | -36.7  | -7.5 |  -8.7   |  -5.6   |
| 通信服务 | 603559 | 中通国脉 |  14.7  | -23.9  | -8.8 |  -8.8   |  -8.6   |
+----------+--------+----------+--------+--------+------+---------+---------+
