[行业>市值]
+------+--------+----------+--------+--------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
| 中药 | 002728 | 特一药业 |  27.6  |  15.1  | -4.2 |  -6.7   |  -8.1   |
| 中药 | 603998 | 方盛制药 |  26.8  |  19.6  | -7.7 |  -9.8   |  -10.2  |
| 中药 | 002873 | 新天药业 |  26.1  |  21.1  | 1.8  |  -4.5   |  -4.0   |
| 中药 | 300534 | 陇神戎发 |  25.4  | 1042.2 | -8.2 |  -9.9   |  -12.3  |
| 中药 | 300519 | 新光药业 |  24.8  |  14.5  | -5.2 |  -8.8   |  -9.6   |
| 中药 | 002566 | 益盛药业 |  24.7  |  22.7  | -6.4 |  -6.6   |  -6.3   |
| 中药 | 603139 | 康惠制药 |  24.0  |  68.2  | -7.8 |  -13.3  |  -3.2   |
| 中药 | 002826 | 易明医药 |  19.8  |  58.0  | -4.3 |  -6.2   |  -4.5   |
| 中药 | 000590 | 启迪药业 |  19.4  |  38.7  | -7.0 |  -8.0   |  -11.0  |
| 中药 | 300108 | *ST吉药  |  15.1  |  -7.2  | -7.4 |  -2.6   |   0.9   |
| 中药 | 600671 |  ST目药  |  9.5   | -40.7  | -4.1 |  -4.5   |  -6.3   |
+------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+------+--------+----------+--------+--------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+--------+------+---------+---------+
| 中药 | 600557 | 康缘药业 |  84.5  |  20.0  | 5.3  |   3.6   |   0.1   |
| 中药 | 002873 | 新天药业 |  26.1  |  21.1  | 1.8  |  -4.5   |  -4.0   |
| 中药 | 600566 | 济川药业 | 219.8  |  9.5   | 0.8  |  -0.1   |  -1.0   |
| 中药 | 002737 | 葵花药业 | 102.0  |  11.6  | -0.5 |   1.8   |   5.4   |
| 中药 | 000423 | 东阿阿胶 | 230.3  |  50.2  | -1.3 |  -5.7   |  -4.0   |
| 中药 | 600129 | 太极集团 | 148.1  | 185.9  | -1.6 |  -1.1   |  -0.9   |
| 中药 | 600436 |  片仔癀  | 1743.0 |  66.3  | -1.6 |  -5.1   |  -6.7   |
| 中药 | 000538 | 云南白药 | 965.4  |  26.4  | -1.7 |  -4.6   |  -5.4   |
| 中药 | 600085 |  同仁堂  | 625.9  |  39.1  | -2.3 |  -6.7   |  -7.2   |
| 中药 | 000999 | 华润三九 | 355.3  |  10.6  | -2.5 |  -4.2   |  -6.2   |
| 中药 | 002287 | 奇正藏药 | 121.8  |  26.3  | -2.6 |  -4.0   |  -4.6   |
| 中药 | 002198 | 嘉应制药 |  27.7  | 273.2  | -2.9 |  -0.6   |   1.1   |
| 中药 | 603567 |  珍宝岛  | 104.2  |  16.5  | -3.1 |  -3.6   |  -2.4   |
| 中药 | 603858 | 步长制药 | 207.2  |  12.1  | -3.1 |  -5.6   |  -6.6   |
| 中药 | 600080 | 金花股份 |  28.4  |  76.4  | -3.3 |  -5.7   |  -6.5   |
| 中药 | 600332 |  白云山  | 452.9  |  6.3   | -3.3 |  -4.9   |  -5.5   |
| 中药 | 002118 | 紫鑫药业 |  32.3  |  -4.2  | -3.5 |  -7.0   |  -6.3   |
| 中药 | 600572 |  康恩贝  | 105.6  |  26.0  | -3.5 |  -5.1   |  -5.1   |
| 中药 | 600329 |  达仁堂  | 166.8  |  20.9  | -3.5 |  -6.5   |  -8.7   |
| 中药 | 600479 | 千金药业 |  38.4  |  24.0  | -3.6 |  -5.1   |  -4.5   |
| 中药 | 603896 |  寿仙谷  |  68.8  |  42.0  | -3.6 |  -8.4   |  -10.0  |
| 中药 | 600750 | 江中药业 |  91.5  |  12.4  | -3.8 |  -4.4   |  -1.4   |
| 中药 | 600211 | 西藏药业 |  90.9  |  13.0  | -3.8 |  -6.9   |  -7.0   |
| 中药 | 600252 | 中恒集团 |  94.5  |  27.5  | -3.9 |  -4.6   |  -4.2   |
| 中药 | 000650 | 仁和药业 |  80.4  |  12.9  | -4.0 |  -5.9   |  -5.9   |
| 中药 | 600351 | 亚宝药业 |  45.8  |  16.0  | -4.0 |  -6.9   |  -6.3   |
| 中药 | 600671 |  ST目药  |  9.5   | -40.7  | -4.1 |  -4.5   |  -6.3   |
| 中药 | 300181 | 佐力药业 |  53.1  |  19.3  | -4.1 |  -6.7   |  -7.6   |
| 中药 | 600285 | 羚锐制药 |  63.4  |  12.1  | -4.1 |  -6.0   |  -6.7   |
| 中药 | 600535 |  天士力  | 145.8  |  -6.5  | -4.1 |  -6.3   |  -6.3   |
| 中药 | 002728 | 特一药业 |  27.6  |  15.1  | -4.2 |  -6.7   |  -8.1   |
| 中药 | 002826 | 易明医药 |  19.8  |  58.0  | -4.3 |  -6.2   |  -4.5   |
| 中药 | 300878 | 维康药业 |  29.9  |  32.7  | -4.4 |  -7.1   |  -6.3   |
| 中药 | 300026 | 红日药业 | 176.0  |  18.5  | -4.6 |  -9.4   |  -12.0  |
| 中药 | 600518 |  ST康美  | 288.4  | -64.7  | -4.6 |  -7.1   |  -5.9   |
| 中药 | 600422 | 昆药集团 |  82.9  |  18.1  | -4.6 |  -7.1   |  -6.7   |
| 中药 | 000989 |  九芝堂  |  75.1  |  15.2  | -4.7 |  -4.7   |  -4.6   |
| 中药 | 600771 |  广誉远  | 145.9  | 470.1  | -4.8 |  -10.2  |  -10.4  |
| 中药 | 002644 | 佛慈制药 |  40.6  |  47.3  | -4.8 |  -8.1   |  -10.1  |
| 中药 | 002390 | 信邦制药 | 103.8  |  35.3  | -4.8 |  -8.4   |  -9.7   |
| 中药 | 002433 |  太安堂  |  30.1  | -20.1  | -4.8 |  -7.3   |  -7.8   |
| 中药 | 002317 | 众生药业 | 117.2  |  39.3  | -5.0 |  -7.1   |  -12.3  |
| 中药 | 600976 | 健民集团 |  61.3  |  15.4  | -5.1 |  -6.5   |  -8.8   |
