[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
| 装修建材 | 603838 | 四通股份 |  19.4  | -271.0 | -0.7 |  -1.5   |  -1.9   |
| 装修建材 | 603226 | 菲林格尔 |  17.5  | -62.2  | 0.2  |  -2.6   |   3.6   |
| 装修建材 | 001211 | 双枪科技 |  17.3  |  31.3  | 1.1  |   0.2   |   2.3   |
| 装修建材 | 002718 | 友邦吊顶 |  17.2  |  20.4  | -0.7 |   0.5   |   2.5   |
| 装修建材 | 300749 | 顶固集创 |  14.9  |  96.5  | 1.0  |  -1.1   |   2.3   |
| 装修建材 | 002652 | 扬子新材 |  13.6  | -49.9  | 1.1  |   3.5   |   3.9   |
| 装修建材 | 603389 | 亚振家居 |  13.2  | -15.4  | -0.4 |   0.6   |   2.0   |
| 装修建材 | 603709 | 中源家居 |  12.7  | 132.0  | 1.3  |  -0.6   |   1.9   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 装修建材 | 002785 |  万里石  |  49.2  | 223.8  | 10.0 |   0.9   |  -2.0   |
| 装修建材 | 002694 | 顾地科技 |  27.8  | -38.4  | 7.4  |   5.7   |   4.5   |
| 装修建材 | 000786 | 北新建材 | 543.7  |  24.3  | 3.2  |   1.8   |   7.2   |
| 装修建材 | 603737 |  三棵树  | 416.0  | -268.5 | 3.0  |   5.9   |  20.0   |
| 装修建材 | 300737 | 科顺股份 | 140.6  |  35.5  | 2.9  |  -2.1   |  11.2   |
| 装修建材 | 600076 | 康欣新材 |  42.2  | -28.6  | 2.3  |   1.0   |   1.0   |
| 装修建材 | 002791 | 坚朗五金 | 323.5  | -90.4  | 2.2  |  -1.3   |   6.4   |
| 装修建材 | 300715 | 凯伦股份 |  50.5  | 147.2  | 2.1  |  -3.5   |   6.7   |
| 装修建材 | 600321 | 正源股份 |  29.8  | -21.6  | 2.1  |   1.6   |   2.1   |
| 装修建材 | 002790 |  瑞尔特  |  29.8  |  20.4  | 2.0  |  -1.7   |   2.1   |
| 装修建材 | 003012 | 东鹏控股 |  99.7  | -32.3  | 1.9  |  -0.5   |   4.2   |
| 装修建材 | 002631 | 德尔未来 |  37.2  | -35.0  | 1.8  |  -0.7   |   1.8   |
| 装修建材 | 002572 |  索菲亚  | 225.5  |  49.2  | 1.8  |   1.5   |  16.6   |
| 装修建材 | 002271 | 东方雨虹 | 1179.0 |  92.9  | 1.7  |  -1.9   |   2.2   |
| 装修建材 | 002392 | 北京利尔 |  43.1  |  15.4  | 1.7  |  -0.8   |   0.6   |
| 装修建材 | 002225 | 濮耐股份 |  40.3  |  13.5  | 1.5  |   0.2   |   1.0   |
| 装修建材 | 601996 | 丰林集团 |  34.0  |  26.7  | 1.4  |  -0.7   |   1.0   |
| 装修建材 | 300198 | 纳川股份 |  38.9  | -69.3  | 1.3  |  -2.6   |  -2.8   |
| 装修建材 | 603709 | 中源家居 |  12.7  | 132.0  | 1.3  |  -0.6   |   1.9   |
| 装修建材 | 603313 |  梦百合  |  58.3  |  47.3  | 1.3  |  -2.4   |   7.0   |
| 装修建材 | 603208 | 江山欧派 |  59.0  |  26.6  | 1.3  |  -4.2   |   6.4   |
| 装修建材 | 001216 | 华瓷股份 |  31.6  |  22.6  | 1.2  |  -1.0   |   0.7   |
| 装修建材 | 603898 |  好莱客  |  31.2  |  19.1  | 1.2  |  -2.1   |   1.4   |
| 装修建材 | 002043 |  兔宝宝  |  78.8  |  20.8  | 1.2  |   0.6   |   5.7   |
| 装修建材 | 301010 | 晶雪节能 |  26.2  | 164.4  | 1.2  |  -4.3   |  15.3   |
| 装修建材 | 002652 | 扬子新材 |  13.6  | -49.9  | 1.1  |   3.5   |   3.9   |
| 装修建材 | 002918 | 蒙娜丽莎 |  66.9  | -22.6  | 1.1  |   2.2   |  12.5   |
| 装修建材 | 603600 | 永艺股份 |  27.7  |  14.6  | 1.1  |  -4.7   |  -1.0   |
| 装修建材 | 603801 | 志邦家居 |  81.5  |  39.7  | 1.1  |  -0.9   |  21.2   |
| 装修建材 | 603610 | 麒盛科技 |  48.0  |  21.4  | 1.1  |  -1.1   |   3.2   |
| 装修建材 | 001211 | 双枪科技 |  17.3  |  31.3  | 1.1  |   0.2   |   2.3   |
| 装修建材 | 603661 | 恒林股份 |  43.0  |  14.8  | 1.0  |   0.6   |   3.5   |
| 装修建材 | 603268 | 松发股份 |  24.4  | -28.3  | 1.0  |  -0.9   |   3.4   |
| 装修建材 | 300749 | 顶固集创 |  14.9  |  96.5  | 1.0  |  -1.1   |   2.3   |
| 装修建材 | 603992 | 松霖科技 |  66.7  |  22.9  | 1.0  |  -1.5   |   5.4   |
| 装修建材 | 300234 | 开尔新材 |  32.4  |  84.3  | 1.0  |  -2.5   |   3.1   |
| 装修建材 | 002333 | 罗普斯金 |  32.2  | -292.3 | 0.8  |  -1.2   |   0.6   |
| 装修建材 | 002853 |  皮阿诺  |  21.7  |  29.1  | 0.8  |   0.0   |   4.8   |
| 装修建材 | 300117 | 嘉寓股份 |  29.7  |  9.4   | 0.7  |   6.7   |  12.2   |
| 装修建材 | 000663 | 永安林业 |  23.6  |  52.5  | 0.7  |  -1.0   |   1.6   |
| 装修建材 | 002162 | 悦心健康 |  40.7  | -66.5  | 0.7  |  -1.1   |   1.1   |
| 装修建材 | 000910 | 大亚圣象 |  48.3  | -55.1  | 0.6  |  -4.2   |  -10.5  |
| 装修建材 | 300599 | 雄塑科技 |  31.3  | 106.0  | 0.5  |  -1.7   |  -1.1   |
| 装修建材 | 002372 | 伟星新材 | 351.9  |  75.1  | 0.5  |  -2.5   |   7.1   |
| 装修建材 | 603818 | 曲美家居 |  54.6  |  23.5  | 0.4  |  -2.2   |  -0.4   |
| 装修建材 | 603326 | 我乐家居 |  24.9  |  46.2  | 0.4  |  -3.0   |   0.3   |
| 装修建材 | 002398 | 垒知集团 |  44.8  |  20.2  | 0.3  |  -0.6   |   0.8   |
| 装修建材 | 002641 | 公元股份 |  60.0  |  46.6  | 0.2  |  -2.2   |   0.4   |
