[行业>市值]
+------+--------+----------+--------+---------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
| 电池 | 300073 | 当升科技 | 551.9  |  35.6   | 6.2  |   6.6   |   4.3   |
| 电池 | 600110 | 诺德股份 | 205.1  |  40.4   | 6.1  |   2.6   |  -0.4   |
| 电池 | 601311 | 骆驼股份 | 136.8  |  24.4   | 6.1  |   5.7   |   3.6   |
| 电池 | 300037 |  新宙邦  | 381.4  |  18.6   | 5.8  |   3.4   |  -7.1   |
| 电池 | 300457 | 赢合科技 | 187.1  |  72.5   | 5.4  |   4.0   |   2.9   |
| 电池 | 300340 | 科恒股份 |  34.4  |  54.6   | 5.1  |   4.7   |   0.6   |
| 电池 | 300207 |  欣旺达  | 552.5  |  145.5  | 5.0  |   8.0   |   5.3   |
| 电池 | 688772 | 珠海冠宇 | 320.3  |  157.3  | 4.7  |  -3.2   |  -4.7   |
| 电池 | 688148 | 芳源股份 |  98.2  | -1080.5 | 4.6  |   2.6   |  -2.3   |
| 电池 | 688063 | 派能科技 | 638.0  |  157.4  | 4.6  |  -1.7   |  11.9   |
| 电池 | 688388 | 嘉元科技 | 197.6  |  28.4   | 4.6  |   2.9   |  -0.7   |
| 电池 | 300116 |  保力新  |  91.6  | -113.5  | 4.5  |   3.5   |   3.5   |
| 电池 | 002812 | 恩捷股份 | 2133.0 |  58.2   | 4.3  |   3.0   |  -5.8   |
| 电池 | 600847 | 万里股份 |  31.2  |  -70.4  | 3.9  |   0.5   |   2.2   |
| 电池 | 688567 | 孚能科技 | 307.4  |  -31.5  | 3.8  |   4.8   |   4.2   |
| 电池 | 300750 | 宁德时代 |  0.0   |  227.3  | 3.2  |   7.2   |   6.5   |
| 电池 | 300450 | 先导智能 | 985.2  |  71.1   | 3.0  |   5.1   |   4.9   |
| 电池 | 603659 |  璞泰来  | 1141.0 |  44.8   | 2.5  |   0.6   |  -5.7   |
| 电池 | 002850 |  科达利  | 408.3  |  60.3   | 1.9  |   5.1   |   2.4   |
| 电池 | 300919 | 中伟股份 | 896.2  |  88.0   | 0.1  |   5.7   |  15.1   |
| 电池 | 688779 | 长远锂科 | 422.9  |  34.8   | -0.2 |   1.7   |  -1.2   |
| 电池 | 002192 | 融捷股份 | 366.9  |  36.1   | -6.6 |  -9.4   |  -18.3  |
+------+--------+----------+--------+---------+------+---------+---------+
