[行业>市值]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
| 装修装饰 | 605287 | 德才股份 | 24.8  |  14.5  |  0.2  |   1.8   |  -0.1   |
| 装修装饰 | 605318 |  法狮龙  | 18.2  |  83.9  |  0.1  |  -0.1   |   1.4   |
| 装修装饰 | 603929 | 亚翔集成 | 23.4  | 115.3  |  0.1  |  -0.6   |  -5.4   |
| 装修装饰 | 002084 | 海鸥住工 | 26.8  | -33.8  |  0.0  |  -4.3   |   4.9   |
| 装修装饰 | 002504 |  ST弘高  | 16.6  | -52.5  |  0.0  |   0.0   |   5.2   |
| 装修装饰 | 002856 | 美芝股份 | 14.6  | 978.0  |  0.0  |   2.3   |   7.7   |
| 装修装饰 | 605155 |  西大门  | 19.3  |  24.7  | -0.5  |   0.6   |   1.2   |
| 装修装饰 | 601886 | 江河集团 | 96.8  |  26.4  | -0.7  |  -0.7   |  -3.9   |
| 装修装饰 | 300592 | 华凯易佰 | 44.5  |  32.0  | -0.8  |  -1.0   |  -3.0   |
| 装修装饰 | 002247 | 聚力文化 | 21.6  | 2168.0 | -0.8  |  -1.2   |   0.0   |
| 装修装饰 | 002781 | *ST奇信  | 10.6  |  -9.2  | -0.8  |   0.0   |  -3.9   |
| 装修装饰 | 002620 | 瑞和股份 | 22.8  |  58.8  | -1.1  |   9.8   |   8.1   |
| 装修装饰 | 603038 | 华立股份 | 15.9  | -266.9 | -1.4  |  -2.3   |  -3.3   |
| 装修装饰 | 603828 |  柯利达  | 21.1  | -14.0  | -1.4  |   2.1   |   3.9   |
| 装修装饰 | 605289 | 罗曼股份 | 19.3  | 191.9  | -1.4  |  -1.8   |  -3.0   |
| 装修装饰 | 002713 | 东易日盛 | 27.3  |  -2.8  | -1.7  |   3.5   |   2.2   |
| 装修装饰 | 002375 | 亚厦股份 | 67.1  |  19.5  | -1.8  |  -0.7   |   0.1   |
| 装修装饰 | 002081 |  金螳螂  | 132.8 |  6.7   | -1.8  |  -0.2   |   0.2   |
| 装修装饰 | 603385 | 惠达卫浴 | 27.6  | -499.7 | -1.8  |  -1.2   |  -1.9   |
| 装修装饰 | 300506 |  名家汇  | 49.0  |  96.8  | -1.8  |  -1.3   |   4.8   |
| 装修装饰 | 002989 | 中天精装 | 31.0  |  21.9  | -2.4  |   0.2   |  -10.9  |
| 装修装饰 | 300374 | 中铁装配 | 28.5  | -18.7  | -2.5  |   1.7   |   0.9   |
| 装修装饰 | 002822 | 中装建设 | 36.6  | -92.8  | -2.8  |   1.6   |   2.4   |
| 装修装饰 | 300621 | 维业股份 | 17.8  | -106.8 | -3.1  |   0.5   |  -1.2   |
| 装修装饰 | 002811 | 郑中设计 | 22.6  | 104.5  | -3.7  |   1.1   |  -0.2   |
| 装修装饰 | 002482 |  ST广田  | 29.2  |  -9.5  | -5.0  |  -14.4  |  -13.6  |
| 装修装饰 | 603030 | 全筑股份 | 18.5  | -34.8  | -5.9  |   2.6   |  -5.6   |
| 装修装饰 | 002325 | 洪涛股份 | 35.0  | -11.0  | -6.5  |  -9.1   |   0.9   |
| 装修装饰 | 605178 | 时空科技 | 22.4  | -51.9  | -7.3  |  -11.8  |  -14.1  |
| 装修装饰 | 002047 | 宝鹰股份 | 59.6  | -32.8  | -8.6  |  -3.9   |   8.6   |
| 装修装饰 | 001212 | 中旗新材 | 42.2  |  60.1  | -10.0 |  -3.1   |  -6.5   |
| 装修装饰 | 002789 | 建艺集团 | 24.4  | 141.1  | -10.0 |   0.5   |   6.0   |
+----------+--------+----------+-------+--------+-------+---------+---------+
