[行业>市值]
+----------+--------+-------------+--------+--------+-------+---------+---------+
|   行业   |  代码  |    名称     |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
| 电子元件 | 002138 |  顺络电子   | 194.6  |  29.9  |  3.7  |   2.2   |  -1.5   |
| 电子元件 | 300903 |  科翔股份   |  57.2  |  77.2  |  3.6  |   6.6   |   4.0   |
| 电子元件 | 002436 |  兴森科技   | 169.0  |  21.0  |  3.5  |  -2.7   |  -2.0   |
| 电子元件 | 300124 |  汇川技术   | 1682.0 |  58.6  |  3.3  |   1.5   |   0.3   |
| 电子元件 | 300852 |  四会富仕   |  37.1  |  26.7  |  3.3  |   1.3   |   0.2   |
| 电子元件 | 300410 |  正业科技   |  31.2  |  94.2  |  3.0  |   2.4   |   1.8   |
| 电子元件 | 002922 |   伊戈尔    |  61.7  |  44.1  |  2.9  |   7.4   |   6.4   |
| 电子元件 | 603738 |  泰晶科技   |  76.1  |  25.8  |  2.9  |  -0.2   |  -6.2   |
| 电子元件 | 300657 |  弘信电子   |  60.5  | -42.1  |  2.9  |  -2.5   |  10.6   |
| 电子元件 | 002008 |  大族激光   | 322.5  |  24.3  |  2.8  |  -0.2   |  -1.7   |
| 电子元件 | 688322 | 奥比中光-UW | 129.3  | -53.1  |  2.8  |  -2.6   |   4.3   |
| 电子元件 | 688519 |  南亚新材   |  60.1  |  21.1  |  2.7  |  -0.3   |  -1.8   |
| 电子元件 | 300726 |  宏达电子   | 227.1  |  32.3  |  2.7  |  -5.8   |  -9.9   |
| 电子元件 | 002815 |  崇达技术   | 109.0  |  17.3  |  2.6  |  -2.3   |  -3.6   |
| 电子元件 | 300516 |   久之洋    |  48.7  | 141.6  |  2.6  |   1.5   |   1.0   |
| 电子元件 | 688655 |   迅捷兴    |  16.3  | 131.6  |  2.5  |   0.2   |  -0.2   |
| 电子元件 | 603989 |  艾华集团   |  97.4  |  21.2  |  2.4  |  -1.2   |  -6.8   |
| 电子元件 | 688776 |  国光电气   | 142.4  |  85.5  |  2.4  |  -3.2   |   0.6   |
| 电子元件 | 688025 |   杰普特    |  48.0  |  49.3  |  2.3  |   4.3   |   6.3   |
| 电子元件 | 688020 |  方邦股份   |  28.7  | -56.9  |  2.3  |  -1.6   |  -4.0   |
| 电子元件 | 603386 |  骏亚科技   |  38.6  |  31.1  |  2.2  |   1.7   |   4.3   |
| 电子元件 | 603186 |  华正新材   |  33.2  |  26.9  |  2.1  |   0.1   |  -5.2   |
| 电子元件 | 002414 |  高德红外   | 395.5  |  31.7  |  2.1  |  -1.9   |  -3.9   |
| 电子元件 | 301021 |  英诺激光   |  37.9  |  76.5  |  2.1  |  -2.6   |  -5.8   |
| 电子元件 | 000733 |  振华科技   | 663.2  |  27.3  |  2.1  |  -2.1   |  -5.9   |
| 电子元件 | 002384 |  东山精密   | 359.2  |  24.7  |  2.1  |   0.4   |  -3.3   |
| 电子元件 | 300227 |   光韵达    |  36.0  |  54.8  |  1.8  |  -0.8   |   1.3   |
| 电子元件 | 688093 |  世华科技   |  43.0  |  37.8  |  1.8  |  -1.9   |  -2.4   |
| 电子元件 | 000988 |  华工科技   | 222.3  |  24.6  |  1.8  |   1.0   |  -2.5   |
| 电子元件 | 605058 |  澳弘电子   |  26.8  |  20.1  |  1.8  |   1.4   |   0.3   |
| 电子元件 | 002179 |  中航光电   | 1021.0 |  34.6  |  1.7  |  -0.5   |   0.5   |
| 电子元件 | 300964 |  本川智能   |  22.7  |  40.7  |  1.7  |  -2.1   |  -7.0   |
| 电子元件 | 603328 |  依顿电子   |  67.0  |  44.0  |  1.7  |   8.9   |   8.1   |
| 电子元件 | 688778 |  厦钨新能   | 354.1  |  42.8  |  1.6  |   0.8   |  10.0   |
| 电子元件 | 603267 |  鸿远电子   | 278.7  |  26.9  |  1.5  |  -4.6   |  -8.9   |
| 电子元件 | 300936 |  中英科技   |  20.1  |  68.9  |  1.5  |  -0.3   |  -2.3   |
| 电子元件 | 002913 |   奥士康    |  93.1  |  15.6  |  1.5  |  -2.4   |  -5.4   |
| 电子元件 | 002724 |   海洋王    |  86.5  | 128.3  |  1.5  |  -0.7   |  -5.0   |
| 电子元件 | 603678 |  火炬电子   | 219.4  |  28.3  |  1.4  |  -6.0   |  -7.2   |
| 电子元件 | 688511 |  天微电子   |  27.7  |  29.6  |  1.3  |  -2.7   |  -5.5   |
| 电子元件 | 600478 |   科力远    | 160.8  | 127.3  |  1.3  |  -5.3   |  11.4   |
| 电子元件 | 002199 |  东晶电子   |  16.7  | -81.1  |  1.2  |   4.9   |   4.6   |
| 电子元件 | 002137 |   实益达    |  30.6  |  44.0  |  1.1  |   2.9   |   6.9   |
| 电子元件 | 002463 |  沪电股份   | 240.1  |  24.1  |  1.1  |  -1.9   |  -6.3   |
| 电子元件 | 300476 |  胜宏科技   | 130.2  |  16.1  |  1.1  |  -4.3   |  -7.8   |
| 电子元件 | 301041 |   金百泽    |  19.6  | 662.1  |  1.0  |  -1.2   |  -2.4   |
| 电子元件 | 002389 |  航天彩虹   | 172.0  | 123.9  |  0.9  |   0.5   |  -1.9   |
| 电子元件 | 002025 |  航天电器   | 302.2  |  47.6  |  0.8  |  -5.0   |  -4.2   |
| 电子元件 | 000062 |  深圳华强   | 123.0  |  14.0  |  0.7  |  -1.8   |  -2.4   |
| 电子元件 | 300868 |   杰美特    |  22.2  | -61.1  |  0.6  |  -1.5   |  -1.6   |
| 电子元件 | 300220 |  金运激光   |  18.6  | -64.4  |  0.6  |   0.6   |   2.3   |
| 电子元件 | 002579 |  中京电子   |  43.7  | 184.6  |  0.6  |  -1.4   |  -2.6   |
| 电子元件 | 002859 |  洁美科技   |  94.7  |  73.8  |  0.5  |  -4.5   |  -10.4  |
| 电子元件 | 300991 |   创益通    |  19.6  |  91.6  |  0.4  |  -1.5   |  -2.8   |
| 电子元件 | 688103 |  国力股份   |  47.9  |  99.3  |  0.4  |  -2.8   |   0.0   |
| 电子元件 | 000823 |  超声电子   |  53.3  |  17.8  |  0.3  |   0.9   |  -0.1   |
| 电子元件 | 603228 |  景旺电子   | 179.9  |  25.6  |  0.2  |  -3.7   |  -6.4   |
| 电子元件 | 002916 |  深南电路   | 468.3  |  33.6  |  0.2  |   0.4   |  -1.7   |
| 电子元件 | 600183 |  生益科技   | 366.5  |  19.0  |  0.1  |  -2.2   |  -4.9   |
| 电子元件 | 300408 |  三环集团   | 505.8  |  25.4  |  0.0  |  -3.4   |  -4.7   |
| 电子元件 | 688375 |  国博电子   | 255.2  |  63.6  |  0.0  |   0.0   |   0.0   |
| 电子元件 | 300475 |  香农芯创   |  78.8  |  35.9  |  0.0  |  -4.6   |  -6.3   |
| 电子元件 | 603002 |  宏昌电子   |  48.0  |  21.5  | -0.2  |  -0.4   |  -2.4   |
| 电子元件 | 300390 |  天华超净   | 505.8  |  8.3   | -0.3  |  -1.7   |  -10.2  |
| 电子元件 | 300460 |  惠伦晶体   |  31.2  | 145.2  | -0.4  |  -5.5   |  -7.4   |
| 电子元件 | 603936 |  博敏电子   |  65.8  |  40.5  | -0.4  |   0.6   |  -1.6   |
| 电子元件 | 301067 |  显盈科技   |  20.9  |  48.0  | -0.4  |  -1.0   |   0.1   |
| 电子元件 | 000636 |  风华高科   | 201.8  |  28.0  | -0.4  |  -1.8   |  -1.9   |
| 电子元件 | 600288 |  大恒科技   |  66.0  | -179.2 | -0.5  |  -1.9   |  -2.6   |
| 电子元件 | 600353 |  旭光电子   |  49.7  | 116.6  | -0.7  |  -3.4   |   2.7   |
| 电子元件 | 600601 |   *ST方科   |  53.3  | -10.3  | -1.2  |   2.5   |  -0.4   |
| 电子元件 | 002729 |  好利科技   |  55.0  | 198.2  | -1.2  |  -2.9   |  -8.1   |
| 电子元件 | 002141 |  贤丰控股   |  55.8  |  79.3  | -2.8  |  -3.7   |  -6.3   |
| 电子元件 | 300747 |  锐科激光   | 159.2  | 190.4  | -3.0  |  -2.5   |  -10.2  |
| 电子元件 | 002388 |  新亚制程   |  29.0  | 122.1  | -4.0  |  -5.3   |   4.0   |
| 电子元件 | 605258 |  协和电子   |  20.5  |  54.4  | -4.3  |  -9.4   |   1.7   |
| 电子元件 | 002869 |  金溢科技   |  30.2  | -46.0  | -7.5  |  -4.2   |  15.4   |
| 电子元件 | 002161 |   远望谷    |  42.6  | -26.6  | -10.0 |   8.9   |  23.3   |
+----------+--------+-------------+--------+--------+-------+---------+---------+
