[行业>市值]
+----------+--------+------------+-------+--------+------+---------+---------+
|   行业   |  代码  |    名称    | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
| 仪器仪表 | 002175 |  东方网络  | 40.7  | 116.9  | 5.3  |   3.2   |   6.7   |
| 仪器仪表 | 001266 |  宏英智能  | 28.7  |  21.4  | 3.9  |   3.4   |  -0.0   |
| 仪器仪表 | 603100 |  川仪股份  | 67.0  |  15.5  | 3.2  |   6.7   |   5.2   |
| 仪器仪表 | 688112 |  鼎阳科技  | 61.4  |  76.6  | 3.0  |  -0.7   |  -2.5   |
| 仪器仪表 | 300667 |  必创科技  | 32.1  |  77.2  | 2.6  |   1.6   |   3.0   |
| 仪器仪表 | 300007 |  汉威科技  | 52.8  |  25.6  | 2.5  |   0.6   |   0.5   |
| 仪器仪表 | 002819 |  东方中科  | 74.0  | -208.3 | 2.3  |  -6.3   |  -6.0   |
| 仪器仪表 | 300165 |  天瑞仪器  | 25.8  |  68.4  | 2.0  |   0.4   |  -2.1   |
| 仪器仪表 | 300275 |   梅安森   | 25.0  |  77.8  | 1.9  |   1.8   |   0.5   |
| 仪器仪表 | 688337 | 普源精电-U | 70.0  | 408.9  | 1.8  |   2.1   |   4.0   |
| 仪器仪表 | 301129 |  瑞纳智能  | 44.6  | 104.3  | 1.5  |  -1.6   |  -4.2   |
| 仪器仪表 | 300371 |  汇中股份  | 19.8  |  96.6  | 1.5  |   0.8   |  -0.3   |
| 仪器仪表 | 300417 |  南华仪器  | 13.4  | -122.0 | 1.4  |   2.0   |   0.8   |
| 仪器仪表 | 300445 |   康斯特   | 23.9  |  49.1  | 1.4  |   1.9   |   2.2   |
| 仪器仪表 | 002877 |  智能自控  | 19.9  |  48.8  | 1.2  |   0.0   |  -1.0   |
| 仪器仪表 | 300112 |  万讯自控  | 26.0  |  80.4  | 1.0  |   0.4   |   0.0   |
| 仪器仪表 | 300897 |  山科智能  | 19.3  |  39.7  | 1.0  |   1.0   |  -1.8   |
| 仪器仪表 | 300066 |  三川智慧  | 53.0  |  39.0  | 0.8  |   1.6   |   1.4   |
| 仪器仪表 | 300306 |  远方信息  | 28.3  |  57.7  | 0.7  |  -4.2   |  -1.0   |
| 仪器仪表 | 688600 |  皖仪科技  | 17.7  | -48.1  | 0.6  |  -1.3   |  -1.0   |
| 仪器仪表 | 002658 |   雪迪龙   | 43.6  |  14.0  | 0.6  |   0.3   |  -0.9   |
| 仪器仪表 | 300862 |  蓝盾光电  | 33.9  |  55.5  | 0.6  |  -1.6   |  -1.9   |
| 仪器仪表 | 601222 |  林洋能源  | 171.8 |  24.0  | 0.5  |  -0.1   |   1.8   |
| 仪器仪表 | 300553 |  集智股份  | 18.5  | 133.7  | 0.4  |  -1.5   |  -3.8   |
| 仪器仪表 | 002849 |  威星智能  | 15.6  |  35.8  | 0.3  |  -3.1   |   0.7   |
| 仪器仪表 | 300720 |  海川智能  | 21.0  |  65.2  | 0.2  |   0.0   |  -2.5   |
| 仪器仪表 | 605056 |  咸亨国际  | 52.8  |  75.1  | 0.1  |  -0.8   |  -1.3   |
| 仪器仪表 | 300259 |  新天科技  | 40.9  | 127.7  | 0.0  |  -0.8   |  -2.2   |
| 仪器仪表 | 688768 |  容知日新  | 40.9  | -75.6  | -0.0 |  -5.6   |  -8.6   |
| 仪器仪表 | 300838 |  浙江力诺  | 20.2  |  27.9  | -0.1 |  -0.3   |  -0.9   |
| 仪器仪表 | 688056 |  莱伯泰科  | 24.7  |  51.9  | -0.2 |  -3.8   |  -4.3   |
| 仪器仪表 | 688628 |   优利德   | 29.9  |  14.1  | -0.2 |  -3.1   |  -5.6   |
| 仪器仪表 | 688622 |  禾信仪器  | 20.8  | -42.2  | -0.3 |  -0.6   |  -4.0   |
| 仪器仪表 | 301151 |  冠龙节能  | 39.3  |  42.1  | -0.3 |   4.2   |   3.3   |
| 仪器仪表 | 002338 |  奥普光电  | 41.2  |  60.1  | -0.4 |  -1.6   |  -2.8   |
| 仪器仪表 | 300515 |  三德科技  | 20.0  |  33.6  | -0.4 |  -2.1   |  -1.7   |
