[行业>市值]
+----------+--------+------------+--------+---------+-------+---------+---------+
|   行业   |  代码  |    名称    |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
| 生物制品 | 688265 |  南模生物  |  51.4  |  92.3   |  4.2  |   5.0   |  -0.6   |
| 生物制品 | 688046 |  药康生物  | 132.3  |  109.1  |  3.5  |   6.0   |   0.6   |
| 生物制品 | 300683 |  海特生物  |  58.5  |  190.2  |  2.4  |   7.4   |   9.5   |
| 生物制品 | 600161 |  DR天坛生  | 346.9  |  45.1   |  1.9  |   2.2   |   1.8   |
| 生物制品 | 300485 |  赛升药业  |  62.0  |  14.6   |  1.7  |   7.3   |   8.8   |
| 生物制品 | 688235 | 百济神州-U | 1412.0 |  -12.3  |  1.0  |   2.8   |  -2.6   |
| 生物制品 | 688382 |  益方生物  |  83.3  |  -17.4  |  0.0  |   0.0   |   0.0   |
| 生物制品 | 688253 |   英诺特   |  0.0   |   0.0   |  0.0  |   0.0   |   0.0   |
| 生物制品 | 688180 | 君实生物-U | 622.5  |  -39.3  | -0.1  |  -0.1   |  -6.9   |
| 生物制品 | 688197 | 首药控股-U |  36.9  |  -18.2  | -0.2  |  -0.4   |   4.7   |
| 生物制品 | 688278 |  特宝生物  | 102.8  |  44.7   | -0.2  |  -0.2   |  -7.4   |
| 生物制品 | 300357 |  我武生物  | 274.9  |  74.9   | -0.4  |  -0.8   |   4.1   |
| 生物制品 | 688163 |  赛伦生物  |  24.5  |  154.8  | -0.5  |   1.3   |  -3.3   |
| 生物制品 | 300294 |  博雅生物  | 171.1  |  41.3   | -0.6  |   0.9   |  -1.6   |
| 生物制品 | 688193 |  仁度生物  |  20.8  |  30.9   | -0.7  |  -1.1   |  -1.8   |
| 生物制品 | 688319 |  欧林生物  |  70.9  | -260.5  | -0.9  |  -2.3   |  -4.4   |
| 生物制品 | 688177 |   百奥泰   |  88.6  |  -20.1  | -1.0  |  -1.1   |  -3.0   |
| 生物制品 | 688176 | 亚虹医药-U |  67.3  |  -35.6  | -1.1  |  -2.1   |  -2.9   |
| 生物制品 | 688739 |  成大生物  | 200.6  |  33.2   | -1.4  |  -0.8   |  -3.9   |
| 生物制品 | 600645 |  中源协和  |  83.9  |  58.5   | -1.4  |  -0.4   |  -4.8   |
| 生物制品 | 600867 |  通化东宝  | 194.7  |   5.9   | -1.6  |  -2.3   |  -4.8   |
| 生物制品 | 300142 |  沃森生物  | 713.2  |  461.7  | -1.7  |  -2.3   |  -7.4   |
| 生物制品 | 301047 |  义翘神州  | 161.5  |  35.3   | -1.7  |  -1.2   |  -1.5   |
| 生物制品 | 002252 |  上海莱士  | 382.9  |  17.5   | -1.7  |  -1.6   |  -4.4   |
| 生物制品 | 002581 |  未名医药  | 110.9  | 1511.3  | -1.8  |  -1.8   |  -5.3   |
| 生物制品 | 300009 |  安科生物  | 156.1  |  22.6   | -1.9  |  -1.9   |  -5.9   |
| 生物制品 | 688687 |  凯因科技  |  29.0  |  29.2   | -1.9  |   0.3   |  -1.5   |
| 生物制品 | 002880 |  卫光生物  |  56.7  |  56.0   | -2.1  |  -0.9   |  -1.1   |
| 生物制品 | 603590 |  康辰药业  |  41.3  |  22.2   | -2.2  |  -0.8   |  -3.8   |
| 生物制品 | 002007 |  华兰生物  | 388.8  |  41.6   | -2.3  |  -2.3   |  -6.7   |
| 生物制品 | 688331 |  荣昌生物  | 284.4  |  -24.8  | -2.4  |   5.2   |  -1.5   |
| 生物制品 | 688336 |  三生国健  |  90.7  | 6488.9  | -2.4  |  -2.6   |  -3.1   |
| 生物制品 | 688520 | 神州细胞-U | 235.7  |  -41.1  | -2.4  |  -3.5   |  -3.9   |
| 生物制品 | 688136 |  科兴制药  |  51.3  |  44.1   | -2.7  |  -2.5   |  -4.2   |
| 生物制品 | 301207 |  华兰疫苗  | 210.0  | -6177.2 | -2.8  |  -1.3   |  -10.8  |
| 生物制品 | 000534 |  万泽股份  |  60.9  |  46.6   | -2.9  |  -4.2   |  -7.3   |
| 生物制品 | 002038 |  双鹭药业  |  93.5  |  36.9   | -2.9  |  -3.8   |  -3.9   |
| 生物制品 | 000661 |  长春高新  | 849.0  |  18.6   | -3.0  |  -1.3   |  -6.0   |
| 生物制品 | 688276 |  XD百克生  | 235.9  |  340.6  | -3.1  |  -2.7   |  -7.2   |
| 生物制品 | 688062 | 迈威生物-U |  64.0  |  -7.3   | -3.4  |  -3.8   |  -6.2   |
| 生物制品 | 688185 |   康希诺   | 428.4  |  88.2   | -3.8  |   0.9   |  -5.9   |
| 生物制品 | 300122 |  智飞生物  | 1672.0 |  21.7   | -4.0  |  -3.1   |  -5.3   |
| 生物制品 | 300601 |  康泰生物  | 449.5  |  41.1   | -4.0  |  -3.4   |  -8.5   |
| 生物制品 | 000518 |  四环生物  |  31.9  |  -34.3  | -4.0  |  -4.6   |  -3.7   |
| 生物制品 | 000403 |  派林生物  | 151.5  |  35.9   | -4.0  |  -2.9   |  -4.0   |
| 生物制品 | 300841 |  康华生物  | 131.7  |  24.3   | -4.1  |  -2.5   |  -7.8   |
| 生物制品 | 688302 | 海创药业-U |  41.4  |  -11.9  | -4.1  |  -3.2   |  -1.6   |
| 生物制品 | 300204 |   舒泰神   |  56.6  |  -58.0  | -4.5  |  -5.1   |  -6.6   |
| 生物制品 | 600530 |  交大昂立  |  29.1  |  79.3   | -4.8  |  -5.8   |  -3.1   |
| 生物制品 | 300239 |  东宝生物  |  42.2  |  44.5   | -5.5  |  -4.6   |  -7.5   |
| 生物制品 | 002693 |  双成药业  |  20.0  |  685.4  | -7.5  |  -7.3   |  -2.6   |
| 生物制品 | 603087 |  甘李药业  | 231.4  |  51.1   | -10.0 |  -9.7   |  -12.2  |
+----------+--------+------------+--------+---------+-------+---------+---------+
