[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
| 化学原料 | 000510 |  新金路  | 33.9  |  26.6  | -4.6 |  -2.6   |  -3.0   |
| 化学原料 | 600714 | 金瑞矿业 | 33.8  |  26.2  | 0.0  |   2.3   |  -3.0   |
| 化学原料 | 002136 |  安纳达  | 33.3  |  14.7  | -4.2 |  -1.3   |  -9.6   |
| 化学原料 | 600844 | 丹化科技 | 30.7  | -433.2 | -1.6 |  -2.6   |  -1.3   |
| 化学原料 | 301065 | 本立科技 | 28.1  |  44.3  | -1.3 |   3.3   |   0.2   |
| 化学原料 | 600423 | 柳化股份 | 27.9  | 209.1  | -1.1 |  -2.2   |  -7.4   |
| 化学原料 | 301076 | 新瀚新材 | 26.1  |  25.2  | -3.1 |   0.9   |  -4.4   |
| 化学原料 | 300927 | 江天化学 | 26.0  |  27.3  | 0.9  |   4.2   |  -2.0   |
| 化学原料 | 000635 |  英力特  | 25.7  | -15.4  | -3.3 |  -1.3   |  -6.4   |
| 化学原料 | 600319 | 亚星化学 | 19.7  | -130.0 | -0.2 |  12.7   |  10.3   |
| 化学原料 | 301059 |  金三江  | 19.6  |  34.7  | -0.1 |   3.7   |  -0.9   |
| 化学原料 | 003017 | 大洋生物 | 17.6  |  52.2  | -3.6 |  -2.3   |  -6.9   |
+----------+--------+----------+-------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 化学原料 | 603067 | 振华股份 | 84.2  |  21.1  | 10.0 |  19.0   |  19.0   |
| 化学原料 | 301090 | 华润材料 | 169.7 |  20.8  | 8.4  |  12.3   |   8.2   |
| 化学原料 | 301149 | 隆华新材 | 66.6  |  48.1  | 7.4  |   8.0   |   4.4   |
| 化学原料 | 603663 | 三祥新材 | 50.9  |  41.7  | 6.5  |  -0.4   |  13.5   |
| 化学原料 | 002805 | 丰元股份 | 106.9 |  65.7  | 5.4  |  13.8   |  -3.4   |
| 化学原料 | 600426 | 华鲁恒升 | 579.6 |  6.0   | 3.0  |   3.4   |  -3.6   |
| 化学原料 | 002125 | 湘潭电化 | 117.0 |  20.8  | 2.8  |  12.0   |   5.9   |
| 化学原料 | 300834 | 星辉环材 | 56.2  |  27.4  | 2.0  |   2.7   |  -1.9   |
| 化学原料 | 300927 | 江天化学 | 26.0  |  27.3  | 0.9  |   4.2   |  -2.0   |
| 化学原料 | 301238 | 瑞泰新材 | 274.9 |  23.9  | 0.6  |   3.1   |  -6.5   |
| 化学原料 | 600277 | 亿利洁能 | 173.4 |  30.6  | 0.6  |   5.0   |   1.9   |
| 化学原料 | 301118 | 恒光股份 | 45.1  |  16.1  | 0.3  |   7.6   |  -2.5   |
| 化学原料 | 600929 | 雪天盐业 | 133.4 |  23.5  | 0.2  |   1.5   |  -4.7   |
| 化学原料 | 600610 |  中毅达  | 179.7 | 249.7  | 0.2  |   3.6   |  -2.3   |
| 化学原料 | 603299 | 苏盐井神 | 88.0  |  9.1   | 0.1  |   2.8   |  -11.4  |
| 化学原料 | 600714 | 金瑞矿业 | 33.8  |  26.2  | 0.0  |   2.3   |  -3.0   |
| 化学原料 | 301059 |  金三江  | 19.6  |  34.7  | -0.1 |   3.7   |  -0.9   |
| 化学原料 | 600319 | 亚星化学 | 19.7  | -130.0 | -0.2 |  12.7   |  10.3   |
| 化学原料 | 603077 | 和邦生物 | 361.2 |  8.7   | -0.2 |   1.2   |  -4.9   |
| 化学原料 | 000818 | 航锦科技 | 211.9 |  58.7  | -0.3 |   2.3   |  -5.3   |
| 化学原料 | 688267 |  中触媒  | 60.4  |  45.3  | -0.5 |   4.4   |  -1.0   |
| 化学原料 | 000422 | 湖北宜化 | 183.9 |  7.2   | -0.6 |  -1.4   |  -5.6   |
| 化学原料 | 600328 | 中盐化工 | 186.2 |  7.6   | -0.6 |  -0.8   |  -13.2  |
| 化学原料 | 000683 | 远兴能源 | 326.0 |  10.3  | -0.7 |  -2.3   |  -13.5  |
| 化学原料 | 301069 | 凯盛新材 | 179.6 |  65.2  | -0.7 |   4.2   |  -3.9   |
| 化学原料 | 002386 | 天原股份 | 80.4  |  11.7  | -0.8 |  -0.1   |  -7.4   |
| 化学原料 | 601568 | 北元集团 | 240.3 |  10.0  | -0.8 |  -0.5   |  -1.6   |
| 化学原料 | 301286 | 侨源股份 | 86.9  | 101.9  | -1.0 |   1.4   |  -1.8   |
| 化学原料 | 002469 | 三维化学 | 37.6  |  14.9  | -1.0 |   4.3   |   0.9   |
| 化学原料 | 603213 | 镇洋发展 | 64.4  |  15.5  | -1.1 |   0.3   |  -2.2   |
| 化学原料 | 600423 | 柳化股份 | 27.9  | 209.1  | -1.1 |  -2.2   |  -7.4   |
| 化学原料 | 000707 | 双环科技 | 60.9  |  7.9   | -1.2 |  -3.3   |  -18.7  |
| 化学原料 | 301065 | 本立科技 | 28.1  |  44.3  | -1.3 |   3.3   |   0.2   |
| 化学原料 | 002145 | 中核钛白 | 262.0 |  21.8  | -1.5 |  -1.8   |  -4.1   |
| 化学原料 | 301256 | 华融化学 | 46.6  | 184.8  | -1.5 |   2.3   |  -2.7   |
| 化学原料 | 600409 | 三友化工 | 143.1 |  14.9  | -1.6 |  -5.1   |  -14.4  |
| 化学原料 | 600075 | 新疆天业 | 103.8 |  9.3   | -1.6 |  -2.9   |  -2.4   |
| 化学原料 | 600844 | 丹化科技 | 30.7  | -433.2 | -1.6 |  -2.6   |  -1.3   |
| 化学原料 | 600746 | 江苏索普 | 120.3 |  8.1   | -1.8 |   0.0   |  -8.5   |
| 化学原料 | 600367 | 红星发展 | 70.1  |  21.0  | -2.0 |  12.6   |   1.2   |
| 化学原料 | 002109 | 兴化股份 | 57.5  |  6.2   | -2.1 |  -2.1   |  -6.0   |
| 化学原料 | 600623 | 华谊集团 | 153.9 |  5.7   | -2.3 |  -1.8   |  -6.7   |
| 化学原料 | 000822 | 山东海化 | 78.1  |  10.7  | -2.5 |  -4.3   |  -15.3  |
| 化学原料 | 601678 | 滨化股份 | 113.2 |  7.6   | -2.5 |  -1.8   |  -6.6   |
| 化学原料 | 600722 | 金牛化工 | 34.5  |  71.0  | -2.5 |  -1.9   |  -7.5   |
| 化学原料 | 002748 | 世龙实业 | 34.1  |  15.7  | -2.5 |  -0.6   |  -5.7   |
| 化学原料 | 002648 | 卫星化学 | 575.4 |  9.5   | -2.7 |  -3.2   |  -4.0   |
| 化学原料 | 001217 |  华尔泰  | 41.9  |  17.9  | -2.8 |   0.2   |  -4.4   |
| 化学原料 | 600935 | 华塑股份 | 192.2 |  20.6  | -2.8 |  -0.5   |  -6.6   |
| 化学原料 | 002092 | 中泰化学 | 184.4 |  10.4  | -2.9 |  -2.6   |  -7.0   |
| 化学原料 | 301076 | 新瀚新材 | 26.1  |  25.2  | -3.1 |   0.9   |  -4.4   |
| 化学原料 | 603113 | 金能科技 | 82.9  |  16.7  | -3.1 |  -3.1   |  -8.8   |
