[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
| 工程建设 | 601390 | 中国中铁 | 1601.0 |  5.3   | -2.0  |  -2.0   |   5.7   |
| 工程建设 | 600039 | 四川路桥 | 521.8  |  8.3   | -2.1  |  -1.8   |   2.7   |
| 工程建设 | 600248 | 陕西建工 | 188.1  |  6.1   | -2.5  |  -5.9   |  -1.5   |
| 工程建设 | 601868 | 中国能建 | 971.4  |  25.3  | -2.5  |  -2.5   |  -0.4   |
| 工程建设 | 600284 | 浦东建设 |  67.9  |  10.8  | -2.5  |  -5.2   |   0.6   |
| 工程建设 | 601611 | 中国核建 | 224.6  |  13.3  | -2.5  |  -4.1   |  -2.2   |
| 工程建设 | 301098 | 金埔园林 |  24.1  |  27.9  | -2.6  |  -5.4   |   3.4   |
| 工程建设 | 601068 | 中铝国际 | 123.1  | 168.3  | -2.6  |  -2.4   |  -3.9   |
| 工程建设 | 000628 | 高新发展 |  59.5  | 129.4  | -2.9  |  -3.0   |  -1.2   |
| 工程建设 | 603098 | 森特股份 | 182.5  | 110.7  | -2.9  |   4.4   |  -2.2   |
| 工程建设 | 601186 | 中国铁建 | 1047.0 |  4.7   | -2.9  |  -4.8   |  -1.3   |
| 工程建设 | 601668 | 中国建筑 | 2214.0 |  4.3   | -2.9  |  -5.2   |  -0.6   |
| 工程建设 | 301024 | 霍普股份 |  15.8  | -20.9  | -3.0  |  -1.5   |  -2.8   |
| 工程建设 | 600170 | 上海建工 | 258.2  | -36.1  | -3.0  |  -4.3   |  -2.7   |
| 工程建设 | 002586 | *ST围海  |  50.4  | -68.7  | -3.1  |   0.5   |  -1.6   |
| 工程建设 | 605598 | 上海港湾 |  31.4  |  7.5   | -3.1  |   4.0   |   7.9   |
| 工程建设 | 002062 | 宏润建设 |  75.2  |  18.3  | -3.1  |  -12.8  |   0.3   |
| 工程建设 | 002307 | 北新路桥 |  84.5  | 246.6  | -3.2  |  -9.4   |   0.1   |
| 工程建设 | 300536 | 农尚环境 |  46.4  | 310.8  | -3.2  |  -3.8   |  -7.9   |
| 工程建设 | 600133 | 东湖高新 |  46.7  |  38.8  | -3.3  |  -1.7   |   3.0   |
| 工程建设 | 002051 | 中工国际 | 106.5  |  35.8  | -3.4  |  -3.9   |   1.9   |
| 工程建设 | 002135 | 东南网架 | 103.7  |  15.2  | -3.4  |  -1.2   |   0.2   |
| 工程建设 | 300982 | 苏文电能 |  71.1  |  42.1  | -3.5  |   5.2   |  14.3   |
| 工程建设 | 600939 | 重庆建工 |  78.0  |  21.5  | -3.5  |  -7.5   |  -2.4   |
| 工程建设 | 600820 | 隧道股份 | 178.0  |  15.0  | -3.6  |  -6.1   |  -3.1   |
| 工程建设 | 605303 | 园林股份 |  18.2  | -49.5  | -3.6  |  -6.2   |  -5.5   |
| 工程建设 | 601800 | 中国交建 | 1414.0 |  6.9   | -3.6  |  -3.9   |  -0.2   |
| 工程建设 | 300649 | 杭州园林 |  30.6  |  33.6  | -3.7  |  -7.1   |  -0.3   |
| 工程建设 | 601669 | 中国电建 | 1133.0 |  10.2  | -3.7  |  -5.0   |   0.0   |
| 工程建设 | 603815 | 交建股份 |  50.9  |  40.0  | -3.9  |  -5.9   |   0.1   |
| 工程建设 | 603388 | 元成股份 |  21.1  | 154.6  | -3.9  |  -6.1   |   4.8   |
| 工程建设 | 002775 | 文科园林 |  20.2  | 264.8  | -3.9  |  -3.4   |   0.8   |
| 工程建设 | 001267 | 汇绿生态 |  34.2  | 168.0  | -3.9  |  -3.7   |  -4.1   |
| 工程建设 | 603176 | 汇通集团 |  40.6  | -28.5  | -4.0  |  -6.2   |  -3.3   |
| 工程建设 | 601618 | 中国中冶 | 700.5  |  6.5   | -4.0  |  -4.2   |  -2.6   |
| 工程建设 | 002140 | 东华科技 |  52.4  |  19.6  | -4.0  |  -3.0   |  -9.0   |
| 工程建设 | 000090 | 天健集团 | 105.9  |  2.9   | -4.1  |  -5.8   |  -4.7   |
| 工程建设 | 600853 | 龙建股份 |  32.9  | 190.4  | -4.4  |  -5.8   |  -1.5   |
