[行业>市值]
+--------+--------+----------+--------+--------+-------+---------+---------+
|  行业  |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
| 小金属 | 600615 | *ST丰华  |  14.9  | -103.3 |  1.9  |   3.8   |   0.6   |
+--------+--------+----------+--------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+--------+--------+----------+--------+--------+-------+---------+---------+
|  行业  |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+--------+--------+----------+--------+--------+-------+---------+---------+
| 小金属 | 600259 | 广晟有色 | 192.7  |  59.2  | 10.0  |  16.2   |  12.1   |
| 小金属 | 600615 | *ST丰华  |  14.9  | -103.3 |  1.9  |   3.8   |   0.6   |
| 小金属 | 601958 | 金钼股份 | 286.5  |  26.1  |  0.9  |  -0.3   |  -1.3   |
| 小金属 | 300811 | 铂科新材 | 102.5  |  79.3  |  0.8  |   1.5   |   2.4   |
| 小金属 | 600206 | 有研新材 | 143.7  |  34.5  |  0.8  |  -7.6   |  -9.3   |
| 小金属 | 600281 | 华阳新材 |  25.8  | 235.6  |  0.6  |   0.8   |  -1.6   |
| 小金属 | 002842 | 翔鹭钨业 |  23.1  |  51.2  | -1.3  |  -0.4   |  -2.8   |
| 小金属 | 300328 | 宜安科技 |  60.1  | 176.6  | -1.7  |  -3.4   |   3.1   |
| 小金属 | 301026 | 浩通科技 |  38.2  |  20.6  | -1.8  |  -2.7   |  -7.1   |
| 小金属 | 600392 | 盛和资源 | 371.4  |  13.0  | -2.1  |  -2.4   |  -5.0   |
| 小金属 | 002428 | 云南锗业 |  78.0  | 223.4  | -2.1  |  -2.5   |  -5.2   |
| 小金属 | 002167 | 东方锆业 |  56.9  |  23.7  | -2.1  |  -2.3   |   0.6   |
| 小金属 | 002149 | 西部材料 |  66.2  |  78.6  | -2.5  |  -0.1   |   2.0   |
| 小金属 | 300748 | 金力永磁 | 346.7  |  52.9  | -2.5  |  -4.1   |  13.6   |
| 小金属 | 002378 | 章源钨业 |  72.5  |  27.6  | -2.6  |  -1.8   |  -3.3   |
| 小金属 | 600456 | 宝钛股份 | 274.1  |  35.4  | -2.7  |  -5.8   |  -1.9   |
| 小金属 | 000970 | 中科三环 | 216.3  |  32.5  | -2.7  |  -5.8   |   0.8   |
| 小金属 | 600111 | 北方稀土 | 1201.0 |  19.3  | -2.8  |  -0.1   |  -5.5   |
| 小金属 | 603399 | 吉翔股份 | 123.6  | 1589.5 | -2.9  |  -3.5   |  -4.8   |
| 小金属 | 002057 | 中钢天源 |  78.2  |  31.6  | -3.3  |  -5.8   |  -8.2   |
| 小金属 | 600980 | 北矿科技 |  27.7  |  27.0  | -3.3  |  -1.7   |  -3.3   |
| 小金属 | 000960 | 锡业股份 | 262.3  |  5.4   | -3.4  |  -3.2   |  -5.4   |
| 小金属 | 002056 | 横店东磁 | 380.0  |  26.0  | -3.5  |  -2.1   |  -9.4   |
| 小金属 | 300127 | 银河磁体 |  57.2  |  39.0  | -3.5  |  -4.8   |  -5.0   |
| 小金属 | 603993 | 洛阳钼业 | 1147.0 |  16.0  | -3.6  |   2.1   |  -5.8   |
| 小金属 | 300224 | 正海磁材 | 122.5  |  36.6  | -3.7  |  -5.3   |  -1.4   |
| 小金属 | 600549 | 厦门钨业 | 310.4  |  20.5  | -3.9  |  -0.7   |  -2.5   |
| 小金属 | 000657 | 中钨高新 | 164.3  |  38.1  | -3.9  |  -4.6   |  -3.7   |
| 小金属 | 600459 | 贵研铂业 |  98.0  |  12.9  | -3.9  |  -3.3   |  -6.1   |
| 小金属 | 688190 | 云路股份 |  89.1  |  58.1  | -4.0  |  -3.5   |  -2.4   |
| 小金属 | 000962 | 东方钽业 |  44.4  |  22.4  | -4.0  |  -2.8   |  -3.8   |
| 小金属 | 688077 |  大地熊  |  64.5  |  30.8  | -4.3  |  -8.2   |  -1.6   |
| 小金属 | 000795 |  英洛华  |  82.9  |  36.4  | -4.8  |  -8.7   |  -5.6   |
| 小金属 | 002182 | 云海金属 | 163.5  |  13.5  | -5.0  |   0.0   |   3.3   |
| 小金属 | 000633 | 合金投资 |  31.5  | 333.2  | -5.2  |  -1.7   |  10.5   |
| 小金属 | 600366 | 宁波韵升 | 119.9  |  40.6  | -5.4  |  -8.9   |  -2.0   |
| 小金属 | 000831 | 五矿稀土 | 294.2  |  43.8  | -5.6  |   1.1   |  -2.9   |
| 小金属 | 300835 | 龙磁科技 |  43.1  |  38.6  | -6.8  |  -7.1   |  -5.0   |
| 小金属 | 002738 | 中矿资源 | 425.3  |  13.7  | -6.9  |  -7.8   |  -4.8   |
| 小金属 | 605376 | 博迁新材 | 137.5  |  80.0  | -10.0 |  -8.3   |  -8.1   |
+--------+--------+----------+--------+--------+-------+---------+---------+
